epoch,batch,parameter_group,cls_grad_norm,seg_grad_norm,cosine
1,0,shared_image_lora,0.01397560695181492,0.00016341987621789144,0.18097521247993006
1,0,m_i_w,0.016580979125137563,0.00017554567804216252,0.15066049520168487
1,0,hard_text_adapter,0.29528747953172785,0.034740306039939335,0.03609497400114891
1,0,soft_prompt,NA,NA,NA
1,1,shared_image_lora,0.014733992620042801,0.14274613598102276,0.12676608955910992
1,1,m_i_w,0.019930700792373357,0.18043486544720655,-0.035978862418189185
1,1,hard_text_adapter,0.3091706050199045,0.0740504288622353,0.08329497106777359
1,1,soft_prompt,NA,NA,NA
1,2,shared_image_lora,0.010834428507936256,1.3687766154511471,0.2891758167667004
1,2,m_i_w,0.013643468139740074,1.0091512370118236,0.10139923722340285
1,2,hard_text_adapter,0.2196763383498599,0.17499969076742897,0.059100291238076696
1,2,soft_prompt,NA,NA,NA
2,0,shared_image_lora,0.04079044294886825,0.0001840775257789734,0.6708518581612429
2,0,m_i_w,0.06532846621028703,0.00016143948984046036,0.16310885298199576
2,0,hard_text_adapter,0.3247978181354714,0.016808638622860722,0.3251546038627097
2,0,soft_prompt,NA,NA,NA
2,1,shared_image_lora,0.014598504064839254,0.001195499623765708,0.054415975036942836
2,1,m_i_w,0.024644458676428435,0.0013964517600444943,0.13972455296180952
2,1,hard_text_adapter,0.19921101883024714,0.01621541234562499,0.0053479890821006085
2,1,soft_prompt,NA,NA,NA
2,2,shared_image_lora,0.025048222981957458,0.8294640159833229,0.4073695840562416
2,2,m_i_w,0.03078369236170171,0.39803334002323454,0.07284633679975806
2,2,hard_text_adapter,0.2319179023353782,0.1333540365365683,0.13262830686317478
2,2,soft_prompt,NA,NA,NA
3,0,shared_image_lora,0.9977717367637934,7.478498461117626e-05,0.5327677986350465
3,0,m_i_w,1.0484062776983414,0.00010303612285945554,0.13104129435644693
3,0,hard_text_adapter,0.18995477171793831,0.009116609041471725,0.08555496597457353
3,0,soft_prompt,NA,NA,NA
3,1,shared_image_lora,0.4007932384428241,0.00023643860119665892,0.4118328218837703
3,1,m_i_w,0.4148754290969023,0.0003670863796426893,-0.2128274286720368
3,1,hard_text_adapter,0.11854433580020196,0.007499863573301728,0.26951354923290255
3,1,soft_prompt,NA,NA,NA
3,2,shared_image_lora,0.033003242742224506,0.14312417288381488,-0.004791946058989479
3,2,m_i_w,0.08159827980948697,0.1348330640092302,-0.035706956376262144
3,2,hard_text_adapter,0.1597834845915501,0.05910492656860379,-0.2375043178931104
3,2,soft_prompt,NA,NA,NA
4,0,shared_image_lora,0.021261269078887094,6.608679747754733e-05,0.38133694882387675
4,0,m_i_w,0.05620868282594687,0.00010964351058645619,0.28364192673424576
4,0,hard_text_adapter,0.1310497170086331,0.004283896736997227,0.07903412553576877
4,0,soft_prompt,0.024912575531766137,0.0013919738938522196,0.31316091465487467
4,1,shared_image_lora,0.1347057505391368,0.0006420129000788528,0.11995356838328526
4,1,m_i_w,0.16849723736348535,0.0009577567314845837,0.03960892888167966
4,1,hard_text_adapter,0.06715924994912646,0.004711372991740024,0.09628852222235698
4,1,soft_prompt,0.014615687128102912,0.001632422569787174,0.2884823733925596
4,2,shared_image_lora,0.023844300749457592,0.15550549950055728,0.1703543823587824
4,2,m_i_w,0.06293403383529933,0.179353755358108,-0.013538452089423869
4,2,hard_text_adapter,0.08078854932615472,0.0531783001290358,0.46997827546790333
4,2,soft_prompt,0.018810560386305495,0.015916617605284986,0.23132295627635752
5,0,shared_image_lora,0.41423068512506145,0.033936084734048105,0.867065460395552
5,0,m_i_w,0.21317891928571456,0.0184357430577821,0.6946858085143951
5,0,hard_text_adapter,0.1075862440544235,0.0067424752570348035,0.1027112219318816
5,0,soft_prompt,0.06373114609920986,0.007285421464768345,0.38341138560592364
5,1,shared_image_lora,0.2419069592043778,0.0008305581643782554,0.4029976878949895
5,1,m_i_w,0.21213977508439372,0.0007007051108083373,0.08678110344372496
5,1,hard_text_adapter,0.045137171575109554,0.003721311412490496,0.36962311876975507
5,1,soft_prompt,0.03185944766008385,0.0036912244998470135,0.5611464322979759
5,2,shared_image_lora,0.04350043591932324,0.1130990678064044,-0.22076197984614826
5,2,m_i_w,0.0906259708932216,0.1192657105251147,-0.10606582474008704
5,2,hard_text_adapter,0.0590630586401501,0.059463440980139594,-0.3065571749830829
5,2,soft_prompt,0.038227715299986746,0.07337881775267613,-0.08606456802242045
6,0,shared_image_lora,0.6503272788590413,0.32556478619413914,0.7406075951665589
6,0,m_i_w,0.43809471649858484,0.1526311003539654,0.6650902802056669
6,0,hard_text_adapter,0.1114910140636948,0.015193126086398948,-0.06284760617020783
6,0,soft_prompt,0.1427122328015486,0.04231799470211605,0.43183630982559873
6,1,shared_image_lora,0.07395665365084952,6.364374736402116e-05,-0.012477229762205526
6,1,m_i_w,0.0868470194189984,8.622375309774444e-05,0.05381587537621886
6,1,hard_text_adapter,0.035436663906350634,0.0021851545918624322,0.41402710895083356
6,1,soft_prompt,0.05463601993128341,0.004916515348898893,0.6830377877545493
6,2,shared_image_lora,0.04269489497387365,0.05441091303803729,0.262490766528746
6,2,m_i_w,0.08036859991566495,0.10922284431297397,0.08056551691261549
6,2,hard_text_adapter,0.041993859144216356,0.03905428552003952,0.3622166824849057
6,2,soft_prompt,0.07711910945818763,0.10356801884334225,0.24040393569475582
7,0,shared_image_lora,0.0498785531944469,0.00021802533825376823,0.6202936652427034
7,0,m_i_w,0.05214431356780642,0.00019464817000700387,0.18527556120561847
7,0,hard_text_adapter,0.12799964738808275,0.002173257779130493,-0.18898408059956312
7,0,soft_prompt,0.09866165221062219,0.003136168574587495,0.16644546700705165
7,1,shared_image_lora,0.15507377239417855,0.00031539560223512613,0.3442024694280523
7,1,m_i_w,0.2770313221005477,0.0003951983321348402,-0.003683675177320281
7,1,hard_text_adapter,0.05467437964976225,0.0025774441849927363,0.039899057599852905
7,1,soft_prompt,0.05753113596386618,0.004775780858011508,0.4012801304280329
7,2,shared_image_lora,0.031059691061017167,0.15750179579565965,-0.2020404510380755
7,2,m_i_w,0.082888438971596,0.2615682886464703,-0.07610151462209384
7,2,hard_text_adapter,0.037111227902318966,0.0693586297167547,-0.2807792016469136
7,2,soft_prompt,0.07066110777173393,0.16958100148132763,-0.47396322016398423
8,0,shared_image_lora,0.04660824075718065,0.005532191463718075,0.44014678017744285
8,0,m_i_w,0.059705420531315084,0.004814764769794488,0.20320048814311945
8,0,hard_text_adapter,0.11077839204586067,0.0034084946977505732,-0.13715147689631543
8,0,soft_prompt,0.09182957944234194,0.00628013740888961,0.3102239008237843
8,1,shared_image_lora,0.15228734970135582,0.00033482656815292465,0.004120516183150377
8,1,m_i_w,0.30642718665630186,0.0004941381700887111,0.019415482020143517
8,1,hard_text_adapter,0.039232081980122256,0.0025231548050357456,0.20241668667789092
8,1,soft_prompt,0.05721017872333105,0.004601217988892449,0.5554983836476272
8,2,shared_image_lora,0.03787115845531974,0.15524929123414707,-0.2693952144255099
8,2,m_i_w,0.08179471662135854,0.2881517642187801,-0.055921241780121346
8,2,hard_text_adapter,0.03823114047989372,0.06490695592893465,-0.17173791156897888
8,2,soft_prompt,0.050783310043750134,0.14120802784002198,-0.2784559211413188
9,0,shared_image_lora,0.07592554464093951,0.005264249274637315,0.49352292089858624
9,0,m_i_w,0.09518212226509745,0.00637870090206064,0.2039980512095044
9,0,hard_text_adapter,0.1562024019165689,0.004862279350746305,-0.116587089237791
9,0,soft_prompt,0.10621192263854491,0.008500243253887525,0.2350074294154878
9,1,shared_image_lora,0.188169384317423,0.00034415122929730283,0.51526398430392
9,1,m_i_w,0.2672564072992631,0.00037284786230041997,0.09033632360580728
9,1,hard_text_adapter,0.06566911463703409,0.002547285919177777,0.22592333527028616
9,1,soft_prompt,0.05274511267697396,0.00423779899965719,0.37017378512644217
9,2,shared_image_lora,0.02698290254103578,0.3587011216473286,-0.19439070303950526
9,2,m_i_w,0.06146509871938645,0.49725210457241253,-0.059267891133410786
9,2,hard_text_adapter,0.04573252796232426,0.06906479107495762,0.019601233795064836
9,2,soft_prompt,0.05019560029452011,0.1449685633325742,-0.11625559100509905
10,0,shared_image_lora,0.0847570175009621,0.6577338669346123,0.5291033918569026
10,0,m_i_w,0.1303193441455933,0.6351757538359245,0.18707764812292488
10,0,hard_text_adapter,0.14345959483250031,0.14413947062577662,-0.10394553463646478
10,0,soft_prompt,0.10575093604481252,0.33750057032766545,0.21589808213833606
10,1,shared_image_lora,0.2794147919537157,0.0004384062113200597,0.21488491544489222
10,1,m_i_w,0.3496413780964722,0.000769714254072332,0.01406650806083541
10,1,hard_text_adapter,0.06326040927471595,0.0019106476107691893,0.15636321065155734
10,1,soft_prompt,0.055156909196415776,0.004404637672434495,0.3891931516935799
10,2,shared_image_lora,0.01941698601632051,0.18879158182179262,0.13132050655566596
10,2,m_i_w,0.05631741994246682,0.2885689896305038,-0.05703475080579745
10,2,hard_text_adapter,0.03830749538271552,0.0639967955655421,-0.1172678751185112
10,2,soft_prompt,0.05701377058633195,0.15160657657174206,-0.36566785056779016
11,0,shared_image_lora,0.10727514848410123,0.03939908282781118,0.4679407003662729
11,0,m_i_w,0.17731140451773172,0.04817035606511277,0.09421740068973714
11,0,hard_text_adapter,0.04846232131530689,0.01549206017888328,-0.07472169659749875
11,0,soft_prompt,0.06064963177257307,0.028245806573031895,0.24651718194245228
11,1,shared_image_lora,0.20269407115615914,0.0006210650908114918,-0.0780942925989517
11,1,m_i_w,0.3162453468444775,0.0006385157232099189,0.04450499410869276
11,1,hard_text_adapter,0.07030512179216807,0.002272969802187439,0.19375385179514135
11,1,soft_prompt,0.05439316676806629,0.0038256303754088928,0.3193485779891221
11,2,shared_image_lora,0.0276391248333328,0.022257666393892508,-0.1421107364228668
