method,epoch,n_targets,pixel_auroc,pixel_ap,image_auroc,image_ap,n_defined_pixel_auroc,n_defined_pixel_ap,n_defined_image_auroc,n_defined_image_ap
R,10,6,0.8942995859258764,0.354425235970159,0.7454932494107845,0.7460134518683703,6,6,3,3
RA,16,6,0.8789035017406901,0.3716246431218127,0.7665192522386045,0.7440998111753295,6,6,3,3
RCA,12,6,0.868403541258822,0.3735474998987815,0.7864830306918082,0.77007972557491,6,6,3,3
