method,epoch,n_images,checkpoint_sha256,pixel_auroc,pixel_ap,image_auroc,image_ap,macro_pixel_auroc,macro_pixel_ap,macro_image_auroc,macro_image_ap,deployment,rmt_inference
R,10,96,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,0.9439353144493897,0.4050818310284318,0.9427083333333334,0.9631744844764122,0.9615206823971496,0.4198214613955964,0.9895833333333334,0.9930555555555555,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,10,96,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,0.9769782375677166,0.4908903858185163,0.9223090277777778,0.9427190281431291,0.9755582153819274,0.41993425686796,0.9375,0.9375,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,10,96,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44,0.9311222251850544,0.493411943462666,0.9592013888888888,0.9693703382921953,0.9603122026334111,0.41883901371557464,0.9791666666666666,0.986111111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
