method,epoch,class_name,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256
RA,10,fryum,8,0.9835130657072774,0.08063503845067267,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,macaroni1,8,0.9991249030811176,0.19329711154554424,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,macaroni2,8,0.994971918920313,0.07875866283932376,0.625,0.6083333333333333,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,pcb1,8,0.8570037161510374,0.28871852603408527,0.9375,0.95,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,pcb2,8,0.9012091729042804,0.05823693500736369,0.8125,0.8041666666666667,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,pcb3,8,0.9878006672301771,0.3571425049140761,0.875,0.8875,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,pcb4,8,0.9890906174029624,0.29804418567414126,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,pipe_fryum,8,0.998228302248307,0.4717236194159182,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RCA,10,candle,8,0.9992495162849184,0.6718113967971999,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,capsules,8,0.9992844974654373,0.8645607127404907,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,cashew,8,0.9997767264766899,0.8635753571571103,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,chewinggum,8,0.9987241002425834,0.8643379738715173,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,fryum,8,0.9497727263506199,0.08239900781969656,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,macaroni1,8,0.9992279051915206,0.18318403087567556,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,macaroni2,8,0.9827395433027627,0.09228222615970336,0.875,0.9166666666666666,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,pcb1,8,0.9624300703380246,0.18513107429089462,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,pcb2,8,0.651945551937318,0.046939574549629604,0.875,0.9166666666666666,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,pcb3,8,0.9931025714925095,0.46385789664208504,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,pcb4,8,0.9892206759831333,0.2392909084142613,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RCA,10,pipe_fryum,8,0.9982725465354163,0.46869800526863065,1.0,1.0,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44
RA,12,candle,8,0.9985610590498806,0.5787160926332829,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,capsules,8,0.9994479898685131,0.8979219995589037,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,cashew,8,0.9998108101723949,0.8759063350646793,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,chewinggum,8,0.997712798032831,0.8555287840885962,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,fryum,8,0.9837137846994306,0.08111175867702672,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,macaroni1,8,0.9991330262817314,0.2128704570969193,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,macaroni2,8,0.9948488871578987,0.0774316414659539,0.6875,0.6458333333333333,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,pcb1,8,0.9193723742262228,0.2994627831240768,0.9375,0.95,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,pcb2,8,0.9017666260302268,0.05861463290235215,0.8125,0.8041666666666667,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,pcb3,8,0.9875066632978968,0.3558027528150118,0.875,0.8875,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,pcb4,8,0.988992391626208,0.3127126447233921,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RA,12,pipe_fryum,8,0.9982267095142551,0.4671935276717356,1.0,1.0,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2
RCA,12,candle,8,0.9992421033794066,0.6700546220546083,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,capsules,8,0.9992821464011399,0.8642222073464254,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,cashew,8,0.9997763173204897,0.8636507903432765,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,chewinggum,8,0.9987020718750237,0.8643951290286775,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,fryum,8,0.9450829063415219,0.08187629682071755,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,macaroni1,8,0.9992291700846605,0.18187371840007868,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,macaroni2,8,0.9803926810719663,0.09195681524481937,0.875,0.9166666666666666,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,pcb1,8,0.9622083525628657,0.1829715109503871,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,pcb2,8,0.6437258928242383,0.04660727969334816,0.875,0.9166666666666666,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,pcb3,8,0.9927850730865466,0.4625937443556981,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,pcb4,8,0.9891943250835245,0.24297336002738382,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RCA,12,pipe_fryum,8,0.9982682910283492,0.4686969868749601,1.0,1.0,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801
RA,14,candle,8,0.9985686687087666,0.580333927594263,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,capsules,8,0.9994489910137512,0.8976090076080354,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,cashew,8,0.9998099646766501,0.8774310893877152,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,chewinggum,8,0.9978428865141787,0.853953149853337,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,fryum,8,0.9832625009446159,0.08022527558227995,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,macaroni1,8,0.9991252094439229,0.19950520076081754,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,macaroni2,8,0.994912527055459,0.07809727875384866,0.6875,0.6458333333333333,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,pcb1,8,0.8828764853254547,0.2882134855230732,0.9375,0.95,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,pcb2,8,0.8993562624086696,0.05815492622797934,0.8125,0.8041666666666667,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,pcb3,8,0.987610394134213,0.3564500882733869,0.875,0.8875,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,pcb4,8,0.9889927731458792,0.30489805501950556,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RA,14,pipe_fryum,8,0.9982310808001859,0.4699737962492756,1.0,1.0,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a
RCA,14,candle,8,0.9992389455935329,0.6694201580996553,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,capsules,8,0.9992823343743061,0.8643039825258472,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,cashew,8,0.9997760331451829,0.8633127618016804,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,chewinggum,8,0.9986893384386025,0.8645809720623021,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,fryum,8,0.9444880487607779,0.08163080545198952,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,macaroni1,8,0.9992324410120983,0.18162442790510874,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,macaroni2,8,0.9797574283608919,0.09188676690929527,0.875,0.9166666666666666,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,pcb1,8,0.9606264003225249,0.18484000396959957,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,pcb2,8,0.6518303692531557,0.046586063295551663,0.875,0.9166666666666666,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,pcb3,8,0.9925989115388211,0.4616134000592893,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,pcb4,8,0.9892198177157867,0.24886197238699628,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RCA,14,pipe_fryum,8,0.9982713826902206,0.4687307851343619,1.0,1.0,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a
RA,16,candle,8,0.9985634070581039,0.5806056971802984,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,capsules,8,0.9994498055470167,0.8974963688181112,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,cashew,8,0.9998096264471069,0.8781033464404883,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,chewinggum,8,0.9978707718115869,0.8535420124846633,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,fryum,8,0.9831611886997782,0.07995558013271079,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,macaroni1,8,0.9991227851418427,0.19418974606434933,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,macaroni2,8,0.9949960469614244,0.07888329770508085,0.6875,0.6458333333333333,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,pcb1,8,0.8308059609154577,0.2817627539318427,0.9375,0.95,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,pcb2,8,0.8980728100687623,0.05793288631121301,0.8125,0.8041666666666667,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,pcb3,8,0.9874851366934458,0.3573159153864044,0.875,0.8875,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,pcb4,8,0.9889418927884133,0.2981895061785165,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RA,16,pipe_fryum,8,0.998235562653523,0.4703109882435963,1.0,1.0,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0
RCA,16,candle,8,0.9992344430300814,0.6685961916561194,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,capsules,8,0.999281065870049,0.8641562107096551,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,cashew,8,0.9997762543613645,0.8634819353864663,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,chewinggum,8,0.9986879152647253,0.8645166374961746,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,fryum,8,0.9441657315925835,0.08135301085239953,0.9375,0.95,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,macaroni1,8,0.9992360494889744,0.1843487456612767,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,macaroni2,8,0.9805323324883194,0.091732627555061,0.875,0.9166666666666666,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,pcb1,8,0.9556940655037036,0.18413675493011927,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,pcb2,8,0.6651839156806034,0.046665873702466415,0.875,0.9166666666666666,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,pcb3,8,0.9916742906948576,0.4588591497301374,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,pcb4,8,0.9891112458547345,0.25398654308095886,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RCA,16,pipe_fryum,8,0.9982759277852973,0.46863392923180724,1.0,1.0,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f
RA,18,candle,8,0.9985166544790265,0.5779443719316373,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,capsules,8,0.9994487675211301,0.8976426563814335,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,cashew,8,0.9998099017175249,0.8770868583767168,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,chewinggum,8,0.9978180956632079,0.8546736071606345,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,fryum,8,0.9827448520959811,0.07954992109114771,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,macaroni1,8,0.9991267417165771,0.20261891429729328,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,macaroni2,8,0.9949667798737367,0.07835168629636882,0.6875,0.6458333333333333,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,pcb1,8,0.8603147465117705,0.2796111922906727,0.9375,0.95,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,pcb2,8,0.9029594915974738,0.05875771139944313,0.8125,0.8041666666666667,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,pcb3,8,0.9873633054292172,0.35763810179097466,0.875,0.8875,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,pcb4,8,0.9888740322447543,0.304277232031208,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RA,18,pipe_fryum,8,0.9982424444534035,0.4663386156292422,1.0,1.0,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e
RCA,18,candle,8,0.9992226688850468,0.6662176793654422,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,capsules,8,0.9992771409831445,0.8636608108817694,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,cashew,8,0.9997760912612984,0.8635175680392461,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,chewinggum,8,0.9986518305813645,0.8644003794601308,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,fryum,8,0.9418523716900054,0.08111134773229624,0.9375,0.95,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,macaroni1,8,0.9992402523463831,0.1877841022428778,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,macaroni2,8,0.9801123896156477,0.0907407660583539,0.875,0.9166666666666666,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,pcb1,8,0.9527419374256281,0.18263005714051822,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,pcb2,8,0.6705221595457953,0.04653375281014704,0.8125,0.8541666666666666,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,pcb3,8,0.9905142892722251,0.4566504864278786,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,pcb4,8,0.9890461112018502,0.2621717204905229,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RCA,18,pipe_fryum,8,0.9982731282467389,0.4689076380844223,1.0,1.0,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7
RA,20,candle,8,0.9984948186626259,0.5768161850733352,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,capsules,8,0.9994478674124321,0.897318517272898,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,cashew,8,0.9998098078256287,0.8773634828236068,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,chewinggum,8,0.9977807723008056,0.8548756185340394,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,fryum,8,0.9833694973223539,0.07975908311726108,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,macaroni1,8,0.9991282010675456,0.20419499050648263,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,macaroni2,8,0.9949696204826771,0.07838426071025309,0.6875,0.6458333333333333,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,pcb1,8,0.8123202505733417,0.27402068190380036,0.9375,0.95,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,pcb2,8,0.8994709855343287,0.058157466179230316,0.8125,0.8041666666666667,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,pcb3,8,0.9871768751885068,0.35821121222747515,0.875,0.8875,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,pcb4,8,0.9888663244188972,0.29924017567543204,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RA,20,pipe_fryum,8,0.9982422720527597,0.4648549322967733,1.0,1.0,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6
RCA,20,candle,8,0.9992168865360996,0.6650026424445836,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,capsules,8,0.9992764596927792,0.86363298254206,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,cashew,8,0.9997764655790746,0.8635520025207895,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,chewinggum,8,0.9986391324244148,0.8644565661821638,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,fryum,8,0.9410421420588024,0.08061210111211364,0.9375,0.95,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,macaroni1,8,0.9992458530987486,0.19085828368209487,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,macaroni2,8,0.9803906553743851,0.0901044803717875,0.875,0.9166666666666666,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,pcb1,8,0.9438153175614674,0.18113657430525784,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,pcb2,8,0.68771318306216,0.046457593549450005,0.8125,0.8541666666666666,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,pcb3,8,0.9885215004029977,0.45413431392606296,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,pcb4,8,0.9888967827532095,0.26887361483276123,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
RCA,20,pipe_fryum,8,0.9982778487003133,0.4687845738582368,1.0,1.0,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81
