alpha,pixel_auroc,pixel_ap,image_auroc,image_ap
0.0,0.43091819985705576,0.00457655221509386,0.5033333333333333,0.593154761904762
0.1,0.4542776428664624,0.005489061735675149,0.5066666666666666,0.5989748677248677
0.25,0.4868113886601623,0.01218474259568785,0.49666666666666676,0.6065542328042328
0.5,0.5237603330958683,0.012815973785008263,0.5300000000000001,0.6178968253968252
