metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,13,current_shared,,93.46,26.21,,
pixel,Liver,13,current_shared,,95.48,5.84,,
pixel,Retina,13,current_shared,,92.36999999999999,44.7,,
pixel,Colon_clinicDB,13,current_shared,,89.25,52.21,,
pixel,Colon_colonDB,13,current_shared,,81.35,26.86,,
pixel,Colon_Kvasir,13,current_shared,,89.17,62.27,,
image,Brain,13,current_shared,cls_only,,,81.33,94.19
image,Liver,13,current_shared,cls_only,,,68.53,61.16
image,Retina,13,current_shared,cls_only,,,78.62,72.72
