scope,method_group,method,epoch,target,n_images,elapsed_seconds,images_per_second,peak_allocated_vram_bytes,peak_reserved_vram_bytes,peak_inference_rss_mib,peak_metric_rss_mib,rss_after_teardown_mib,rss_final_mib,spool_bytes_before_metric,checkpoint_sha256,evaluator_git_sha,telemetry_status
train,CIR,CIR,13,VisA_TRAIN,,861.8340401342139,2.513244893022197,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,14,VisA_TRAIN,,863.0255056647584,2.5097751871558023,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,15,VisA_TRAIN,,864.4911673548631,2.5055201045343742,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,16,VisA_TRAIN,,864.0728621049784,2.506733048788711,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,17,VisA_TRAIN,,867.4011180531234,2.4971146046728347,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,18,VisA_TRAIN,,868.8626492661424,2.492914158330369,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,19,VisA_TRAIN,,867.6468101912178,2.4964074950297372,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
train,CIR,CIR,20,VisA_TRAIN,,866.1444314941764,2.5007376613429897,9357089792,,,,,,,,042174cdc63d9cb635566a1dae5b774056045383,COMPLETED
source,CIR,C05,10,VisA_SOURCE,2162,361.2282027672045,5.985136219813138,3623449088,5855248384,3731.609,4118.473,3707.012,3706.977,5801165174,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C05,12,VisA_SOURCE,2162,361.5707185268402,5.9794665032851935,3623449088,5855248384,4972.047,5360.691,4949.262,4949.195,5801165174,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C05,14,VisA_SOURCE,2162,360.61825825599954,5.995259392732179,3623449088,5855248384,5118.59,5507.297,5095.855,5095.801,5801165174,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C05,16,VisA_SOURCE,2162,360.48831357620656,5.997420494861499,3623449088,5855248384,5117.457,5507.102,5095.621,5095.605,5801165174,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C05,18,VisA_SOURCE,2162,360.4994618478231,5.997235027531444,3623449088,5855248384,5119.152,5507.109,5095.629,5095.613,5801165174,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C05,20,VisA_SOURCE,2162,360.7784258420579,5.992597797259871,3623449088,5855248384,5120.277,5507.113,5095.656,5095.617,5801165174,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,10,VisA_SOURCE,2162,361.2282027672045,5.985136219813138,3623449088,5855248384,3731.609,4118.473,3707.012,3706.977,5801165174,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,12,VisA_SOURCE,2162,361.5707185268402,5.9794665032851935,3623449088,5855248384,4972.047,5360.691,4949.262,4949.195,5801165174,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,14,VisA_SOURCE,2162,360.61825825599954,5.995259392732179,3623449088,5855248384,5118.59,5507.297,5095.855,5095.801,5801165174,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,16,VisA_SOURCE,2162,360.48831357620656,5.997420494861499,3623449088,5855248384,5117.457,5507.102,5095.621,5095.605,5801165174,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,18,VisA_SOURCE,2162,360.4994618478231,5.997235027531444,3623449088,5855248384,5119.152,5507.109,5095.629,5095.613,5801165174,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,CIR,C0,20,VisA_SOURCE,2162,360.7784258420579,5.992597797259871,3623449088,5855248384,5120.277,5507.113,5095.656,5095.617,5801165174,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
