epoch,pixel_auroc_macro,pixel_ap_macro,image_auroc_macro,image_ap_macro,support_aware_combined_score,status
17,87.5109,34.2957,71.83,72.29,66.0136,DIAGNOSTIC_TRAJECTORY
20,87.8593,34.1107,72.2267,73.0733,66.3084,CANONICAL_FINAL
