metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,15,current_shared,,93.58999999999999,22.770000000000003,,
pixel,Liver,15,current_shared,,96.7,5.8999999999999995,,
pixel,Retina,15,current_shared,,94.88,52.900000000000006,,
pixel,Colon_clinicDB,15,current_shared,,88.28,49.99,,
pixel,Colon_colonDB,15,current_shared,,83.81,30.520000000000003,,
pixel,Colon_Kvasir,15,current_shared,,88.22,58.330000000000005,,
image,Brain,15,current_shared,cls_only,,,74.17,91.78
image,Liver,15,current_shared,cls_only,,,67.05,60.03
image,Retina,15,current_shared,cls_only,,,81.18,76.46
