epoch,batch,parameter_group,cls_grad_norm,seg_grad_norm,cosine
1,0,shared_image_lora,0.010501254679640519,7.41850939682011e-05,0.4257126680754823
1,0,m_i_w,0.00863333929404239,4.112641697507645e-05,0.3430875817587439
1,0,hard_text_adapter,0.29701609049178085,0.0367370852820589,0.16323126388490838
1,0,soft_prompt,NA,NA,NA
1,1,shared_image_lora,0.02677136044596806,2.5925230531953776e-05,0.14252582657253116
1,1,m_i_w,0.015839417655050123,2.2406601738020067e-05,0.10521703936275129
1,1,hard_text_adapter,0.31561808382981504,0.021203302066465972,0.2124282463202675
1,1,soft_prompt,NA,NA,NA
1,2,shared_image_lora,0.010491782146885752,6.582610024602359e-07,0.19029624261638392
1,2,m_i_w,0.01016826267545226,4.0588694315598436e-07,-0.07489097174975022
1,2,hard_text_adapter,0.22824229743784613,5.9909743621968715e-06,-0.1471661187380396
1,2,soft_prompt,NA,NA,NA
2,0,shared_image_lora,0.028792627029423774,3.081665920482213e-05,0.5506941589535735
2,0,m_i_w,0.02534045976776371,1.2681775726234029e-05,0.155191138203983
2,0,hard_text_adapter,0.3445848505918504,0.007719564395533837,0.29752347938452917
2,0,soft_prompt,NA,NA,NA
2,1,shared_image_lora,0.022802197154387163,1.3030233768551199e-05,0.348143566131773
2,1,m_i_w,0.029702311328148923,1.285441464803178e-05,0.1512475799403748
2,1,hard_text_adapter,0.1933840640634279,0.007852511094538005,-0.2769551403047424
2,1,soft_prompt,NA,NA,NA
2,2,shared_image_lora,0.032993149124359446,7.429972226840577e-07,0.31362087210957507
2,2,m_i_w,0.025008428095404617,2.248713160980172e-07,0.13482304432293665
2,2,hard_text_adapter,0.20754851374634972,2.3809232437912987e-06,-0.33936211454765086
2,2,soft_prompt,NA,NA,NA
3,0,shared_image_lora,0.06974658557497282,4.0638360827894656e-05,0.5916479658561811
3,0,m_i_w,0.044194652917836814,1.732882531153222e-05,0.28618339074808213
3,0,hard_text_adapter,0.27336673515344195,0.017159458642525157,0.3008491435295455
3,0,soft_prompt,NA,NA,NA
3,1,shared_image_lora,0.02135600807133046,1.0424974447281762e-05,0.05970095527545155
3,1,m_i_w,0.04365777148304779,1.2765999839843301e-05,0.430525159699514
3,1,hard_text_adapter,0.24293503683779802,0.009625680453568085,0.4352031499773524
3,1,soft_prompt,NA,NA,NA
3,2,shared_image_lora,0.15656153333467607,5.948094350033712e-07,0.272535163305658
3,2,m_i_w,0.07203781680981867,2.4141684071528753e-07,0.0018919783353845805
3,2,hard_text_adapter,0.2755372046481921,2.6860783431953223e-06,0.16390230879209222
3,2,soft_prompt,NA,NA,NA
4,0,shared_image_lora,0.05568691207543732,0.00011080496093068443,0.6521992630149867
4,0,m_i_w,0.08647644721597492,0.00014729710407653635,0.30973035606122895
4,0,hard_text_adapter,0.22528507052659436,0.007817802544826292,0.337880210709319
4,0,soft_prompt,0.0812206063838161,0.002280138240832575,-0.054791883550642156
4,1,shared_image_lora,0.06048130006815066,0.015061196797980174,0.25433534496396387
4,1,m_i_w,0.09792307161547768,0.029150946921136806,-0.2073266199648237
4,1,hard_text_adapter,0.12579632452077907,0.010133703920148446,0.030291724587159893
4,1,soft_prompt,0.054554151909955245,0.0035998816758293297,0.02168119293040471
4,2,shared_image_lora,0.0513414035821523,1.911360142474233,0.33875725962670844
4,2,m_i_w,0.06177057680782919,1.2689593912500012,0.24558239772710935
4,2,hard_text_adapter,0.1535144838908601,0.1611391112419228,0.4048676495123751
4,2,soft_prompt,0.06647029761291381,0.05319886266303638,-0.0933687530770557
5,0,shared_image_lora,0.31676528751192823,0.005456543483321324,0.3850241452385667
5,0,m_i_w,0.354292994880669,0.007456386867212662,0.26167907682035085
5,0,hard_text_adapter,0.13461124723188117,0.007853253046690645,-0.06539535989922478
5,0,soft_prompt,0.09268030712303538,0.007635246059435709,0.18975367250371095
5,1,shared_image_lora,1.774606651885979,0.00041059076195128767,0.6839549129753123
5,1,m_i_w,1.0458308606796114,0.00020079539676279168,0.6138238650394906
5,1,hard_text_adapter,0.07447361910757053,0.0052686233865739665,0.18059755092357924
5,1,soft_prompt,0.06878850641518656,0.0050313588381189125,-0.1376029994413279
5,2,shared_image_lora,0.06851667320645369,0.25201339467063577,-0.21927591113796924
5,2,m_i_w,0.1186963993472,0.26634497530394186,-0.06629710353071865
5,2,hard_text_adapter,0.0791241759938744,0.08467842559645748,0.16098914097588518
5,2,soft_prompt,0.05662736449728536,0.0637623186983557,0.14581897462317056
