candidate_count_max,candidate_count_mean,candidate_count_min,candidate_count_p01,candidate_count_p05,candidate_count_p50,candidate_count_p95,candidate_count_p99,center_max,center_mean,center_min,center_p01,center_p05,center_p50,center_p95,center_p99,delta_abs_gt_095,delta_abs_gt_099,delta_abs_patch_anomaly,delta_abs_patch_normal,delta_g0_anomaly,delta_g0_normal,delta_g1_anomaly,delta_g1_normal,delta_g2_anomaly,delta_g2_normal,delta_gt_negative_normal,delta_gt_positive_anomaly,delta_max,delta_mean,delta_min,delta_p01,delta_p05,delta_p50,delta_p95,delta_p99,delta_patch_anomaly,delta_patch_normal,duplicate_pair_fraction,epoch,invalid_peer_fraction,invalid_peer_index_count,mad_max,mad_mean,mad_min,mad_p01,mad_p05,mad_p50,mad_p95,mad_p99,n_anomaly,n_images,n_normal,native_margin_g0_anomaly,native_margin_g0_normal,native_margin_g1_anomaly,native_margin_g1_normal,native_margin_g2_anomaly,native_margin_g2_normal,native_weight_abnormal_anomaly,native_weight_abnormal_normal,native_weight_normal_anomaly,native_weight_normal_normal,nonfinite_by_field,nonfinite_total,peer_count,peer_gt_contamination_fraction,peer_margins_max,peer_margins_mean,peer_margins_min,peer_margins_p01,peer_margins_p05,peer_margins_p50,peer_margins_p95,peer_margins_p99,peer_valid_fraction,scale_max,scale_mean,scale_min,scale_p01,scale_p05,scale_p50,scale_p95,scale_p99,scope,self_violation_fraction,spatial_radius,spatial_violation_fraction,target,transport_margin_effect_anomaly,transport_margin_effect_normal,z_max,z_mean,z_min,z_p01,z_p05,z_p50,z_p95,z_p99
686.0,663.4413652822004,636.0,639.0,643.0,661.0,685.0,685.0,1.2054412364959717,-1.3370482096445941,-1.929603934288025,-1.9229294109344481,-1.9129250407218934,-1.7617728114128113,-0.4118147715926175,0.1287992429733276,0.5008568548387097,0.42963709677419354,0.4642275770875993,0.4153848736343364,0.30997127706442423,0.23885333443176932,0.4348288224092344,0.39447134542278944,0.4207094722259335,0.3727968105347827,0.3542204573806689,0.9027839392840761,1.0,0.37935013923511096,-1.0,-0.9986474597454071,-0.9284609287977219,0.8750835955142975,1.0,1.0,0.3885029705457073,0.3353736469040289,0.0,12,0.0,0,1.1597974300384521,0.013834805948230042,5.066394805908203e-06,0.0005328595638275146,0.0011299818754196167,0.007415845990180969,0.08456559702754014,0.17122766584157942,3075,3715,640,-0.5305054705559723,-0.6941748272394761,-1.277315735332365,-1.5692342067137361,-1.3366393132132244,-1.6292512880638241,0.33333333188925335,0.33333333134651183,0.333333331957096,0.3333333322778344,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.0031997203998950026,1.262338638305664,-1.33641287307549,-1.932046890258789,-1.924759613275528,-1.914597225189209,-1.7568330764770508,-0.4230435252189643,0.1345176218450056,1.0,1.7195156812667847,0.02051148293488357,7.511436706408858e-06,0.0007900175859685988,0.0016753111325670035,0.010994732845574617,0.12537694573402394,0.25386214107275007,medical,0.0,3,0.0,Brain,0.034188740616285705,0.0414249151450349,89529.0078125,24.951773521822112,-268.7145080566406,-3.649125344753265,-1.6471170127391814,1.3543819189071655,97.94151191711381,476.96317932128846
686.0,662.9637362965326,636.0,640.0,643.0,662.0,682.0,685.0,0.26168400049209595,-1.494421455977699,-1.928842306137085,-1.9241664350032806,-1.916749507188797,-1.8255085945129395,-0.7334293127059937,-0.7165325433015823,0.43367218875502006,0.35102911646586343,0.37518720360997476,0.3578725689566595,0.18487395510980578,0.17084766349711625,0.37410662828972846,0.36176422860871416,0.35216259457396737,0.3380677939749279,0.29203818360170747,0.8915107063369992,1.0,0.2961889073985908,-1.0,-0.9990964472293854,-0.9395771324634552,0.7313762307167053,1.0,1.0,0.30371426430507187,0.2902264399266176,0.0,12,0.0,0,0.38250741362571716,0.0036802199485319728,3.5762786865234375e-06,0.00015638470649719237,0.0003302544355392456,0.0022788047790527344,0.014478519558906555,0.03410454392433164,660,1493,833,-0.7600910139354793,-0.756015837407198,-1.7121435342413007,-1.709154004094695,-1.7768704329476213,-1.7740346183296012,0.3333333292693803,0.33333333171143825,0.33333332895329504,0.333333332713197,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,5.259509070084548e-05,0.36880433559417725,-1.4941779558220376,-1.930877447128296,-1.9244781196117402,-1.9196278154850006,-1.8248329758644104,-0.7332289218902588,-0.7122109860181809,1.0,0.5671054720878601,0.005456293998853573,5.302190857037203e-06,0.00023185595782706513,0.0004896352329524234,0.003378555877134204,0.02146585239097476,0.0505633948370814,medical,0.0,3,0.0,Liver,0.04375761459496888,0.0472583834368105,104953.1953125,16.053627950611354,-201.18833923339844,-3.8509490370750425,-1.7344288527965546,0.9316801130771637,47.04938793182373,428.6568710327138
686.0,663.2843760433339,636.0,643.0,647.0,661.0,683.0,685.0,-0.5808953642845154,-1.5114515959501233,-1.928501844406128,-1.922763955593109,-1.9165104925632477,-1.827596664428711,-0.7257796794176102,-0.7073796987533569,0.3325892857142857,0.2373857973421927,0.3689254958454756,0.3437345419847803,0.18670422371223336,0.16220191339394086,0.3684370376910839,0.35981558762870075,0.32936610614988193,0.30572802567001034,0.26797118306304724,0.5346599570768147,1.0,0.2839235435702165,-1.0,-0.9977799445390702,-0.940546116232872,0.5308493077754974,1.0,1.0,0.29483565385752447,0.2759150401894719,0.0,12,0.0,0,0.13756227493286133,0.004185519709426297,7.748603820800781e-06,0.0002557903528213501,0.0004949331283569336,0.00318358838558197,0.01171472370624542,0.017276079058647153,764,1805,1041,-0.7982084890778777,-0.8083437712689527,-1.763815358359152,-1.786461497131846,-1.8212033572621371,-1.8444588391627403,0.33333332938049476,0.3333333284092224,0.3333333306287596,0.3333333305277353,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.011811349044634963,-0.48505496978759766,-1.511155289532432,-1.931296944618225,-1.9234706115722657,-1.9160917937755584,-1.827514410018921,-0.7255921781063079,-0.7029675805568696,1.0,0.20394982397556305,0.006205451411002946,1.1488079508126248e-05,0.0003792347662965767,0.0007337878312682734,0.004719988210126758,0.017368249129503962,0.02561351409181952,medical,0.0,3,0.0,Retina,0.03838172360172212,0.046724597709638126,48425.2421875,5.10446742922935,-188.3606414794922,-3.4011534357070925,-1.7427619278430937,0.5913269817829132,15.634312295913691,65.58073669433547
686.0,664.5095413378402,636.0,641.0,646.0,665.0,684.0,685.0,0.506070613861084,-1.4104392770245513,-1.9376622438430786,-1.9285307002067567,-1.921839189529419,-1.680155336856842,-0.6314175963401795,-0.5102585554122925,0.4869791666666667,0.39859068627450983,0.47788689434586834,,0.3359175423050628,,0.4566969695726251,,0.4586028405556492,,0.37626258971381477,0.7407146313580468,1.0,0.4170721979924847,-1.0,-0.9979297566413879,-0.9096039921045304,0.8807069361209869,1.0,1.0,0.4170721982956422,,0.0,12,0.0,0,0.6128085255622864,0.022240155394276432,1.9848346710205078e-05,0.001077283024787903,0.002375130355358124,0.017459213733673096,0.07349324077367782,0.12580209136009216,612,612,0,-0.5907755101623099,,-1.4150110334157944,,-1.4664237503132789,,0.3333333315802555,,0.3333333286584592,,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.033570434504456764,0.6433830261230469,-1.4071422961506912,-1.9391169548034668,-1.9305522203445435,-1.9234842658042908,-1.6768463253974915,-0.6211811929941178,-0.46440888226032356,1.0,0.9085499048233032,0.03297325380350278,2.9427157642203383e-05,0.001597179773962125,0.0035213681985624135,0.025885029695928097,0.10896107591688632,0.18651417896151543,medical,0.0,3,0.0,Colon_clinicDB,0.02782465407649189,,21663.4375,9.458432582517887,-99.45886993408203,-3.4361049246788027,-1.5252257704734802,1.3789098858833313,36.80280132293699,153.67361038207892
685.0,664.432176771366,636.0,639.0,645.0,665.0,683.0,685.0,-0.1669837236404419,-1.4345438799197814,-1.937502384185791,-1.9278315246105193,-1.9216653108596802,-1.7162426710128784,-0.6778856664896011,-0.5895162194967263,0.45751953125,0.37646484375,0.47178244225620475,,0.33464994559946815,,0.44743728959246687,,0.4342664276298724,,0.37762724212990845,0.6866793511507693,1.0,0.40545096165542455,-1.0,-0.9977551758289337,-0.9005451053380966,0.8328613936901093,1.0,1.0,0.40545096195227587,,0.0,12,0.0,0,0.3876967132091522,0.01638632763056263,1.2874603271484375e-05,0.0007337987422943115,0.0016934871673583984,0.011162161827087402,0.05306011438369751,0.08690222799778029,380,380,0,-0.654992103498233,,-1.5306695731062638,,-1.578248761829577,,0.3333333305622402,,0.33333333260134645,,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.0375922686555688,0.04373263940215111,-1.432382746719168,-1.9394885301589966,-1.930098283290863,-1.9239770770072937,-1.7123847603797913,-0.6701130568981171,-0.5647283971309659,1.0,0.574799120426178,0.024294368913568207,1.9087887267232873e-05,0.0010879300185479225,0.0025107639958150685,0.016549021005630493,0.0786669235676527,0.12884123548865384,medical,0.0,3,0.0,Colon_colonDB,0.02609804087367497,,20300.916015625,8.014693926058415,-89.24503326416016,-3.3955798625946043,-1.4751049280166626,1.1974058151245117,32.98267841339111,130.56739349365242
685.0,663.8896406135866,636.0,636.0,645.0,665.0,682.0,685.0,0.6727563738822937,-1.3709054581208664,-1.9374570846557617,-1.9281175327301026,-1.9190919995307922,-1.6191881895065308,-0.5989253640174866,-0.4563802444934857,0.4652881736526946,0.3768712574850299,0.49608657589068395,,0.36739627182483675,,0.4785147156864405,,0.46710974018275736,,0.3785765599483129,0.6933231813639066,1.0,0.4376732841120079,-1.0,-0.9944853144884109,-0.8704203337430954,0.8567320108413696,1.0,1.0,0.437673284424959,,0.0,12,0.0,0,1.034873604774475,0.029705570310606094,1.6450881958007812e-05,0.0008019375801086426,0.0019502967596054077,0.020557641983032227,0.09339812994003294,0.15651773273944836,1000,1000,0,-0.5511436126828194,,-1.3217397379279137,,-1.3691056599617004,,0.3333333303928375,,0.3333333303928375,,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.0856172388604821,1.2637670040130615,-1.3665614028136148,-1.9423869848251343,-1.9300722002983093,-1.9232894003391265,-1.6067177057266235,-0.5833044707775117,-0.41053180396556915,1.0,1.5343035459518433,0.0440414777611977,2.4390077669522725e-05,0.001188952592201531,0.002891510003246367,0.030478759668767452,0.13847206756472585,0.23205318048596354,medical,0.0,3,0.0,Colon_Kvasir,0.027274926291778682,,17797.853515625,8.228949977448131,-111.23343658447266,-2.9453671264648436,-1.3348112761974336,1.2809280753135681,31.218130779266318,116.16478485107204
686.0,663.3137445473556,636.0,639.0,643.0,660.0,685.0,685.0,1.5040380954742432,-1.3896608039388,-1.93520188331604,-1.9243392002582551,-1.9194209575653076,-1.8132510781288147,-0.43560587614774754,0.5324600470066045,0.515625,0.4417086693548387,0.45297080340851015,0.38095023020544827,0.24985382197182474,0.15989508678248968,0.4259222644276735,0.35469886178616433,0.4590177950238794,0.41121114855632185,0.34358115983686166,0.8387161168356432,1.0,0.3662632820927984,-1.0,-0.9995388007164001,-0.899718627333641,0.924281507730484,1.0,1.0,0.37826442343268973,0.30860154980412935,0.0,14,0.0,0,1.3986868858337402,0.012457236988420176,3.0994415283203125e-06,0.0003884434700012207,0.0008793443441390992,0.006074994802474976,0.07475825548171974,0.1870573163032529,3075,3715,640,-0.5882018859708696,-0.7714429718675092,-1.363762457680896,-1.655934445746243,-1.4291576520698825,-1.7177450984716416,0.33333333175356794,0.33333333022892475,0.3333333315597317,0.33333333041518926,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.001213886215341237,1.5260584354400635,-1.389115904381935,-1.9373724460601807,-1.925862134695053,-1.9198520541191102,-1.8124946355819702,-0.4415656983852391,0.5219679129123668,1.0,2.073693037033081,0.01846909923118912,4.5952319851494394e-06,0.000575906306039542,0.001303715870017186,0.009006787091493607,0.11083658710122075,0.2773311701416965,medical,0.0,3,0.0,Brain,0.02405889095412946,0.04140682123543229,44011.91015625,22.868448604237383,-463.76324462890625,-4.18729859828949,-1.470740693807602,1.6176426410675049,80.57317352294916,355.1569345092772
686.0,662.4840240577283,636.0,641.0,645.0,662.0,683.0,685.0,0.09180109947919846,-1.5215177474105772,-1.9348607063293457,-1.922991108894348,-1.9187115728855133,-1.8387481570243835,-0.765850618481636,-0.7405056387186051,0.4515562248995984,0.35592369477911645,0.3819152954299552,0.3533438688671668,0.22475483648930536,0.19975026891458364,0.34688890515403314,0.30894500618221377,0.35491551090822077,0.3328555696973709,0.28920619065572295,0.8433676255771825,1.0,0.29304318220920034,-1.0,-0.999784842133522,-0.9566063731908798,0.7928017973899841,1.0,1.0,0.3088529542342847,0.2805168325427784,0.0,14,0.0,0,0.30917996168136597,0.0034616643671615496,5.543231964111328e-06,0.0002164125442504883,0.00040900707244873047,0.0025874972343444824,0.011773474514484406,0.025519895553588866,660,1493,833,-0.7865506406083251,-0.7983919717326743,-1.7140210393703346,-1.7345176933764839,-1.781263221213312,-1.800826207357867,0.33333333306240315,0.33333333314252217,0.3333333312562018,0.3333333304234627,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,2.782647240567988e-05,0.18547526001930237,-1.5212975645786995,-1.935899019241333,-1.9259730875492096,-1.919842004776001,-1.8383337259292603,-0.7653984427452087,-0.7334568262100221,1.0,0.4583902060985565,0.005132263499809464,8.218395123549271e-06,0.00032085322454804553,0.0006063938926672563,0.003836223389953375,0.017455352935940027,0.037835796177387235,medical,0.0,3,0.0,Liver,0.0348343638167011,0.04042362204405154,21494.447265625,14.672833278733593,-257.43731689453125,-4.56859815120697,-1.9043269157409668,1.0789296627044678,69.13784790039062,450.3079559326167
685.0,662.9009807591525,637.0,645.0,649.0,662.0,678.0,683.0,-0.5036201477050781,-1.53239666163555,-1.934624195098877,-1.9236408686637878,-1.9178914487361909,-1.8395469188690186,-0.7552742540836335,-0.7390374267101288,0.3525747508305648,0.24828696013289037,0.3405945105985396,0.325814474615503,0.14015056419122907,0.13648590366789976,0.3722142977006148,0.34595022557390986,0.3528443297166475,0.3250151568599668,0.26308145263997085,0.5007734526882515,1.0,0.2772993307494648,-1.0,-0.9997712337970733,-0.9729301631450653,0.5348107814788818,1.0,1.0,0.28840291938145257,0.26915029947892555,0.0,14,0.0,0,0.10638439655303955,0.004476938858098406,7.212162017822266e-06,0.0003518053889274597,0.0006629228591918945,0.003057509660720825,0.012857061624526968,0.019773383736610414,764,1805,1041,-0.8366322327814801,-0.8480038327969232,-1.7790107670878865,-1.80704273740107,-1.839792371264303,-1.8678669779490784,0.33333333250115676,0.3333333312148205,0.33333333000462717,0.33333333207367705,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.019043157854268133,-0.4049736559391022,-1.5321254306261431,-1.936218023300171,-1.9243884682655334,-1.9186892449855804,-1.8396294116973877,-0.7564426004886627,-0.7326758486032486,1.0,0.1577254980802536,0.006637509433145553,1.069275094778277e-05,0.000521586635732092,0.0009828493930399418,0.004533063620328903,0.019061878602951752,0.029316017385572195,medical,0.0,3,0.0,Retina,0.051788244609774645,0.05368913445303236,11876.49609375,4.250457056423031,-158.7202606201172,-4.538040561676025,-2.1444276571273804,0.5968590080738068,11.472910642623898,47.50223594665505
685.0,664.5486639262474,636.0,641.0,647.0,665.0,684.0,685.0,0.8040928840637207,-1.4756127132578174,-1.9408353567123413,-1.9289032268524169,-1.9215790331363678,-1.7531607747077942,-0.6931306540966036,-0.5689333152771006,0.5052083333333334,0.4195772058823529,0.5014364156884156,,0.31521879121953367,,0.5155521992569655,,0.5112989646644374,,0.41212147852278136,0.7267882764106742,1.0,0.4473563717204454,-1.0,-0.9966896593570709,-0.8980376869440079,0.9185744524002075,1.0,1.0,0.4473563719742421,,0.0,14,0.0,0,0.6719463467597961,0.01843150980001596,1.1146068572998047e-05,0.001034117341041565,0.0022879958152771,0.014171048998832703,0.06334865391254413,0.10155997395515434,612,612,0,-0.681856866536382,,-1.4732202531075944,,-1.5343792283651876,,0.333333330411537,,0.3333333319698284,,"{""center"": 0, ""delta"": 0, ""mad"": 0, ""peer_margins"": 0, ""scale"": 0, ""z"": 0}",0,8,0.033470026067402854,1.0439667701721191,-1.4727511533855655,-1.9440155029296875,-1.9313944625854491,-1.9229321658611298,-1.7473466396331787,-0.6872925221920017,-0.5394591987133043,1.0,0.9962276220321655,0.027326555944515756,1.6525160390301608e-05,0.0015331823460292071,0.0033921825117431584,0.02100999653339386,0.09392071105539782,0.15057281643152223,medical,0.0,3,0.0,Colon_clinicDB,0.02362809390030509,,10590.25,8.414569313067366,-95.07457733154297,-3.20109885931015,-1.4619867742061614,1.579826533794403,40.143582534790006,140.15793380737196
