epoch,target,n_images,alpha0_pixel_auroc,alpha0_pixel_ap,alpha0_image_auroc,alpha0_image_ap,alpha05_pixel_auroc,alpha05_pixel_ap,alpha05_image_auroc,alpha05_image_ap
12,VisA_SOURCE,2162,0.9674356574615185,0.6236049500103431,0.9859494224422441,0.9885175873056277,0.9674728196198387,0.623613432460515,0.9859494224422441,0.9885175873056277
14,VisA_SOURCE,2162,0.9733991237915437,0.6214776042323918,0.9867143564356436,0.9896593070434104,0.9735128879554816,0.6214803329493669,0.9867143564356436,0.9896593070434104
16,VisA_SOURCE,2162,0.966986919988721,0.6307189717575438,0.9889144939493949,0.990001850221549,0.9662804231156797,0.630693219486088,0.9889144939493949,0.990001850221549
18,VisA_SOURCE,2162,0.979547497769835,0.6441082939182315,0.9876272552255226,0.9887487305394238,0.9796187474440442,0.644151376927497,0.9876272552255226,0.9887487305394238
20,VisA_SOURCE,2162,0.9759471461668389,0.6357780013237831,0.9893125137513752,0.9905125438889272,0.9761542076780484,0.6357472696985212,0.9893125137513752,0.9905125438889272
