target,epoch,pixel_auroc,pixel_ap,image_auroc,image_ap,config_sha,checkpoint_sha,evaluator_git_sha,source_effect_status
Liver,18,0.9740293271544962,0.09086024772854931,0.5837735094037615,0.4735818971252677,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Retina,18,0.9425892116600105,0.4503181728088435,0.7865046195009833,0.7718996755320173,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_clinicDB,18,0.8592045701932866,0.4474424195048708,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_colonDB,18,0.8045614881824389,0.23129802472316635,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_Kvasir,18,0.8565943530482026,0.5209740048841638,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Brain,20,0.897649113797119,0.33102070466735,0.8437268800813008,0.9558831185697712,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Liver,20,0.970014763293731,0.08048988838870838,0.5865200625704827,0.48828667850991575,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Retina,20,0.8862236207557469,0.28308458764926575,0.7998714989111356,0.7963729723729611,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_clinicDB,20,0.8686975189632085,0.4437121302639614,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_colonDB,20,0.753321033996689,0.22079987454108604,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_Kvasir,20,0.8403403178211579,0.49898072882979627,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
