epoch,reference,comparison,signal,axis,n_images,mean_cosine,norm_ratio,linear_cka,pairwise_geometry_corr,mean_abs_delta,geometry_rows
10,P_E10,PA_E10,seg_stage0,feature,96,0.9494727175567602,1.0083464180514914,0.441542662249016,0.2764603193137793,0.009032764665329429,96
10,P_E10,PA_E10,seg_stage0,patch_subsample,96,0.9275906326595367,0.9999999994927725,0.6312234171720239,0.8108692148550719,0.010607536863839272,96
10,P_E10,PA_E10,det_stage0,feature,96,0.7450217814266801,0.9282522021560565,0.8921076860347429,0.8001285041538556,0.010389110780042411,96
10,P_E10,PA_E10,group_margin_stage0,patch_group,96,0.9945955963764275,1.0256638744863005,0.6550250265585275,0.8126381220294244,0.09613312213267788,96
10,P_E10,PA_E10,native_fused_margin_stage0,patch,96,0.9981766746282333,1.010296069381059,0.8716758552204527,0.8279488337590072,0.35275184986667285,96
10,P_E10,PA_E10,stage_probability_stage0,patch,96,0.23307975024878144,143.47527756253058,0.42888776318824834,0.23945315055127234,0.0018820375100095873,96
10,P_E10,PA_E10,seg_stage1,feature,96,0.9320888763392953,0.9898084297471358,0.342640967328288,0.25839110769191326,0.010412667567762742,96
10,P_E10,PA_E10,seg_stage1,patch_subsample,96,0.9141595878970247,0.9999999993375154,0.3812499623894715,0.6880919719450651,0.011561088396728366,96
10,P_E10,PA_E10,det_stage1,feature,96,0.7252072767818479,0.8460204564696182,0.9200881730020491,0.7235305023953275,0.008779819578353944,96
10,P_E10,PA_E10,group_margin_stage1,patch_group,96,0.9920312553871391,0.9930135434523342,0.5604607062192218,0.663943766616903,0.12719138671140534,96
10,P_E10,PA_E10,native_fused_margin_stage1,patch,96,0.9966862146830922,0.9930740711381868,0.540215105899809,0.6650112163082212,0.34739178487377836,96
10,P_E10,PA_E10,stage_probability_stage1,patch,96,0.09671349226907483,314304.3731692623,0.6831107161081699,0.5495877350685071,0.0023120798158786883,96
10,P_E10,PA_E10,seg_stage2,feature,96,0.8869096584810269,0.9889069403427325,0.4512056114197817,0.31843122852350325,0.012199240967570225,96
10,P_E10,PA_E10,seg_stage2,patch_subsample,96,0.8448272540641044,1.0000000001407843,0.23509357973464312,0.6136339780799724,0.014346751734357982,96
10,P_E10,PA_E10,det_stage2,feature,96,0.861198668477396,1.0790397883204161,0.8763256213704402,0.8570761380711116,0.01157469279297217,96
10,P_E10,PA_E10,group_margin_stage2,patch_group,96,0.9422821151741549,1.023108659126094,0.27645622754663324,0.6083090877666578,0.18080958422477492,96
10,P_E10,PA_E10,native_fused_margin_stage2,patch,96,0.9639142873056953,0.9735960297013585,0.5661439525749673,0.6104037055397075,1.717670757612359,96
10,P_E10,PA_E10,stage_probability_stage2,patch,96,0.1268199489535347,578872.525789494,0.3805194403853933,0.7105644554536524,0.027191961519070124,96
10,P_E10,PA_E10,text_normal_abnormal_groups,feature,48,0.9613995509171629,0.9999999983708179,0.9997129725814996,0.9996324911756815,0.007762216002423678,48
10,P_E10,PA_E10,native_deployed_map,pixel,96,0.12916603467306026,301.171034840735,0.9078677106002903,0.9078142392308198,0.0002114315180142695,96
10,P_E10,PA_E10,native_raw_map,pixel,96,0.1303152871249238,11375.789383147288,0.8498924460362531,0.44029185460376247,0.0008181205734423587,96
12,P_E12,PA_E12,seg_stage0,feature,96,0.948433228854411,1.0093483396814922,0.32994416359706635,0.11260302491330189,0.009141585321417428,96
12,P_E12,PA_E12,seg_stage0,patch_subsample,96,0.9226523728960522,0.9999999980616504,0.6016873075984137,0.8342400269929855,0.010832072559773094,96
12,P_E12,PA_E12,det_stage0,feature,96,0.8021162085242141,0.9641201100524815,0.9462836326296558,0.8691097792869854,0.007729364360917659,96
12,P_E12,PA_E12,group_margin_stage0,patch_group,96,0.995366018008176,1.0224251087544522,0.5967035399280858,0.8654061609844101,0.08271485196865645,96
12,P_E12,PA_E12,native_fused_margin_stage0,patch,96,0.9977566896685307,1.004913381670585,0.8823412953417394,0.8666147928346013,0.47516326219343646,96
12,P_E12,PA_E12,stage_probability_stage0,patch,96,0.26748858875729276,689.5181933097882,0.5337933460220765,0.29976104611811183,0.001950455093120713,96
12,P_E12,PA_E12,seg_stage1,feature,96,0.9328711007524745,0.9853667652592341,0.6719286296067289,0.7053558934211618,0.01021846571673803,96
12,P_E12,PA_E12,seg_stage1,patch_subsample,96,0.9088270547898817,0.9999999993382325,0.4444282459541385,0.8407205518269323,0.011652224552783034,96
12,P_E12,PA_E12,det_stage1,feature,96,0.7353466586035186,0.8589949294760212,0.8652053191524676,0.776629298148466,0.009173769688269957,96
12,P_E12,PA_E12,group_margin_stage1,patch_group,96,0.9905708228245603,0.9827050388465018,0.5118821344045796,0.8987794541151024,0.1153992647485462,96
12,P_E12,PA_E12,native_fused_margin_stage1,patch,96,0.9957001799733559,0.9856799411170604,0.7917953280880936,0.8932381672340978,0.4767781988663929,96
12,P_E12,PA_E12,stage_probability_stage1,patch,96,0.12713659434513191,162591.20964738217,0.7406383273502718,0.07592606862921657,0.003296698332029997,96
12,P_E12,PA_E12,seg_stage2,feature,96,0.8804208217933045,1.0415211190403184,0.6029356426422451,0.49300618646035826,0.012198274806260108,96
12,P_E12,PA_E12,seg_stage2,patch_subsample,96,0.8198503550764902,0.9999999999424478,0.2851590862168094,0.673625098789013,0.01531476324330335,96
12,P_E12,PA_E12,det_stage2,feature,96,0.7576692983647401,1.2347250089031105,0.76757839297032,0.6802492803376133,0.013570963461881675,96
12,P_E12,PA_E12,group_margin_stage2,patch_group,96,0.9213700203074494,1.131893945215481,0.3780731165834402,0.6241363342362943,0.21103516278630033,96
12,P_E12,PA_E12,native_fused_margin_stage2,patch,96,0.9498780270132502,0.990197376193807,0.6333488609647976,0.6269874718135732,2.1392329742924137,96
12,P_E12,PA_E12,stage_probability_stage2,patch,96,0.1834036647659375,512289.1422074608,0.547375879708175,0.16298821310287365,0.03678899212355149,96
12,P_E12,PA_E12,text_normal_abnormal_groups,feature,48,0.9587819763955161,0.9999999928153357,0.9997153852829929,0.9993511673034077,0.00794736954818754,48
12,P_E12,PA_E12,native_deployed_map,pixel,96,0.18397295115960946,163.14529064253253,0.8266046385644574,0.810950860908273,0.0004769414208173446,96
12,P_E12,PA_E12,native_raw_map,pixel,96,0.17948821299755036,2500.782813913865,0.8598683104963727,0.3000733173191705,0.0012882249811699317,96
14,P_E14,PA_E14,seg_stage0,feature,96,0.9532617764205483,1.0048111924086676,0.3520984828516745,0.1256286883681825,0.008670120248259774,96
14,P_E14,PA_E14,seg_stage0,patch_subsample,96,0.9310875584202128,0.999999999759915,0.5713709381269764,0.767566886251385,0.01027097333645188,96
14,P_E14,PA_E14,det_stage0,feature,96,0.6564093636223506,0.980660513111439,0.8536017094015751,0.6206893366971629,0.009960801924575543,96
14,P_E14,PA_E14,group_margin_stage0,patch_group,96,0.9967213810740616,1.017064841594537,0.5886203058667141,0.7929610270209133,0.07630925857395605,96
14,P_E14,PA_E14,native_fused_margin_stage0,patch,96,0.9984516040714216,1.0082529427257756,0.843713598702566,0.8071915518719481,0.39550018042604557,96
14,P_E14,PA_E14,stage_probability_stage0,patch,96,0.2443030417045274,5135.435361120578,0.731462255247031,0.3214971779867451,0.0012801323124697192,96
14,P_E14,PA_E14,seg_stage1,feature,96,0.9427468516952162,0.991069043318841,0.6466415021055703,0.7461156675951884,0.009535503366373203,96
14,P_E14,PA_E14,seg_stage1,patch_subsample,96,0.9234297444430878,0.9999999997750617,0.40975151177605124,0.8932580515274325,0.010852482151251761,96
14,P_E14,PA_E14,det_stage1,feature,96,0.6448302165432062,1.051327658728505,0.9056000824098023,0.5263252746005963,0.00963212783352902,96
14,P_E14,PA_E14,group_margin_stage1,patch_group,96,0.9947113035179141,0.9946579972298445,0.6512513839980026,0.949126810260769,0.0969115167741131,96
14,P_E14,PA_E14,native_fused_margin_stage1,patch,96,0.99818935104713,0.9940554641842914,0.8905359254756379,0.9478729702327984,0.2861460973597378,96
14,P_E14,PA_E14,stage_probability_stage1,patch,96,0.11100496104823311,23569.20553311888,0.8016783715239431,0.3577410919824039,0.0015810235034649826,96
14,P_E14,PA_E14,seg_stage2,feature,96,0.8991298871298578,0.9953597142441367,0.5890635985665338,0.4359802243471404,0.011015852697581213,96
14,P_E14,PA_E14,seg_stage2,patch_subsample,96,0.848275846044198,1.0000000002247413,0.318488867707795,0.7240641221289724,0.01378658116214742,96
14,P_E14,PA_E14,det_stage2,feature,96,0.8016702332082791,1.0872792111378697,0.7714167889401471,0.7301429613129211,0.013019057173024259,96
14,P_E14,PA_E14,group_margin_stage2,patch_group,96,0.9254077203050036,1.0485854973470317,0.31972965504783935,0.5314776370977254,0.20585065390560017,96
14,P_E14,PA_E14,native_fused_margin_stage2,patch,96,0.9507635129695365,0.9925535711324636,0.5768537620925399,0.5272982948281026,1.8680471390280429,96
14,P_E14,PA_E14,stage_probability_stage2,patch,96,0.15887095365652076,1590922.732412012,0.482087268095248,0.6411577393358567,0.03494358937850675,96
14,P_E14,PA_E14,text_normal_abnormal_groups,feature,48,0.9540721469963839,1.000000002721703,0.9990133881987889,0.9979685297281263,0.008281461151166089,48
14,P_E14,PA_E14,native_deployed_map,pixel,96,0.1576421396381426,425.816593641744,0.9640688769690429,0.869458771565008,0.0001889927592537683,96
14,P_E14,PA_E14,native_raw_map,pixel,96,0.14905708073199703,8610.622158309812,0.9070433855168846,0.5098988963968,0.0007145156414831347,96
16,P_E16,PA_E16,seg_stage0,feature,96,0.9511121871655996,1.0004412665311666,0.400176066985621,0.18640611607309096,0.00882325056536899,96
16,P_E16,PA_E16,seg_stage0,patch_subsample,96,0.9261343596561439,0.9999999992783118,0.6410334720652843,0.8180819699485029,0.010552995748803452,96
16,P_E16,PA_E16,det_stage0,feature,96,0.7751276390588672,0.9298210669206298,0.949388784361589,0.8375285887823214,0.00774394817529011,96
16,P_E16,PA_E16,group_margin_stage0,patch_group,96,0.9968960539633084,1.005070650936711,0.6010925471550105,0.8591305497276395,0.07222662908902287,96
16,P_E16,PA_E16,native_fused_margin_stage0,patch,96,0.9984469958294158,0.9967138588306632,0.8932970035121964,0.8643261390832255,0.42020589179164475,96
16,P_E16,PA_E16,stage_probability_stage0,patch,96,0.27756877290955106,10611.010091891616,0.7157335818352426,0.4072326223490038,0.0013268097899936356,96
16,P_E16,PA_E16,seg_stage1,feature,96,0.9442187793476075,0.993019386680488,0.767325616785159,0.8599259418495743,0.009481969075748543,96
16,P_E16,PA_E16,seg_stage1,patch_subsample,96,0.9227010813062201,1.0000000001421896,0.5700154729403019,0.9167382240816904,0.010896030945079757,96
16,P_E16,PA_E16,det_stage1,feature,96,0.7979113433950661,0.9133465554599741,0.9311439526729755,0.7886281553662632,0.006557154810431575,96
16,P_E16,PA_E16,group_margin_stage1,patch_group,96,0.9934934266251684,0.9994504734896973,0.4024755425765647,0.9460668921799869,0.09090942796616111,96
16,P_E16,PA_E16,native_fused_margin_stage1,patch,96,0.9980165674464786,0.992017295859894,0.9163849418142259,0.9421014993053559,0.3074314514750395,96
16,P_E16,PA_E16,stage_probability_stage1,patch,96,0.1296682123492537,37800.55227576183,0.7560473892593821,0.3607779680636515,0.0023156177278163205,96
16,P_E16,PA_E16,seg_stage2,feature,96,0.8719572032522672,0.9803822344159209,0.5570184303643573,0.5173722909426426,0.012174693458256827,96
16,P_E16,PA_E16,seg_stage2,patch_subsample,96,0.8249344705518449,0.9999999978413836,0.3230170336180623,0.69807905799069,0.014767288093653456,96
16,P_E16,PA_E16,det_stage2,feature,96,0.8226145321698519,1.034433813690151,0.7981380752813273,0.7643812669563232,0.012708719077256563,96
16,P_E16,PA_E16,group_margin_stage2,patch_group,96,0.9059771306620863,1.0056797972689173,0.26340396011797373,0.573705912576,0.23614011347871805,96
16,P_E16,PA_E16,native_fused_margin_stage2,patch,96,0.9346777320160958,0.9659777332461683,0.524376223806755,0.5676098385621439,2.2601488641215792,96
16,P_E16,PA_E16,stage_probability_stage2,patch,96,0.17071927816792234,3990081.0444705617,0.39433771628782527,0.6963632201082385,0.04630074635044696,96
16,P_E16,PA_E16,text_normal_abnormal_groups,feature,48,0.9518305195722596,0.9999999992579893,0.9992210602432594,0.9986296654625049,0.008332536145675563,48
16,P_E16,PA_E16,native_deployed_map,pixel,96,0.18285564004320695,1013.2576437622861,0.95870183738944,0.8969975808055085,0.00031505997390519344,96
16,P_E16,PA_E16,native_raw_map,pixel,96,0.17738918750968985,7641.762694884102,0.8606834288123203,0.6402591850065811,0.0010687785609832384,96
18,P_E18,PA_E18,seg_stage0,feature,96,0.9548650039480157,1.010902288018346,0.4540841297438222,0.2868420217776034,0.008412847233081992,96
18,P_E18,PA_E18,seg_stage0,patch_subsample,96,0.9266471073835616,0.9999999981227216,0.6096327627977665,0.7875862172214112,0.010396342953335821,96
18,P_E18,PA_E18,det_stage0,feature,96,0.7886362505957526,0.9492670733145446,0.9536249151002065,0.9044421282935424,0.007846655559477425,96
18,P_E18,PA_E18,group_margin_stage0,patch_group,96,0.9957307740212187,1.0305566164151272,0.6279386049844117,0.8679852560134903,0.0790123551798392,96
18,P_E18,PA_E18,native_fused_margin_stage0,patch,96,0.9976060971923171,1.0086132940373016,0.8830558318587639,0.8766604206718623,0.4554577021985611,96
18,P_E18,PA_E18,stage_probability_stage0,patch,96,0.2705646216817696,389.6140681880049,0.4989768888913736,0.3716305723443991,0.002000268230985795,96
18,P_E18,PA_E18,seg_stage1,feature,96,0.947340252419678,0.9937567298683692,0.7852571824086472,0.8941778186283459,0.009202076379392351,96
18,P_E18,PA_E18,seg_stage1,patch_subsample,96,0.9273445133726724,0.9999999996386579,0.6376711655541013,0.9305933249860361,0.01061124336581723,96
18,P_E18,PA_E18,det_stage1,feature,96,0.8896754795784751,0.9827210569037005,0.9350191795291323,0.9414473698192921,0.007039499933630493,96
18,P_E18,PA_E18,group_margin_stage1,patch_group,96,0.9949418388087288,1.0017798715313073,0.8243530603982944,0.9535757175661761,0.08796452786828789,96
18,P_E18,PA_E18,native_fused_margin_stage1,patch,96,0.9985349819165271,0.9969983214879203,0.9529492571751289,0.9553012612479829,0.24386064273118213,96
18,P_E18,PA_E18,stage_probability_stage1,patch,96,0.11572087313087999,56216.247311015366,0.8375099735649819,0.3718306919936393,0.0016608293780625936,96
18,P_E18,PA_E18,seg_stage2,feature,96,0.9183676708173993,1.0018106783373428,0.6055058839725312,0.444453947071954,0.010315404277251645,96
18,P_E18,PA_E18,seg_stage2,patch_subsample,96,0.8769509385977914,0.9999999988072789,0.38090444684002417,0.6118273751647454,0.01253945321546228,96
18,P_E18,PA_E18,det_stage2,feature,96,0.8261577009658265,0.9933140650461078,0.8068607525232678,0.779497528140475,0.012623310719921205,96
18,P_E18,PA_E18,group_margin_stage2,patch_group,96,0.9548718633345401,1.035930138283146,0.2873595848077867,0.4445809596221604,0.1762103123000345,96
18,P_E18,PA_E18,native_fused_margin_stage2,patch,96,0.9726625810600161,0.9965381182206534,0.5558074339376423,0.4428481039062233,1.2501764340428063,96
18,P_E18,PA_E18,stage_probability_stage2,patch,96,0.13770564238035732,707330.3763350607,0.3996445595324945,0.6609242817773056,0.02055141399429046,96
18,P_E18,PA_E18,text_normal_abnormal_groups,feature,48,0.9477700400768695,0.9999999976726267,0.9978974952959492,0.9956876082912387,0.00856718634322272,48
18,P_E18,PA_E18,native_deployed_map,pixel,96,0.1396177959018,7.481995951323743,0.9117285809993084,0.9114060229339727,0.0002348239902535889,96
18,P_E18,PA_E18,native_raw_map,pixel,96,0.1469775506615614,1069.3143915200264,0.9383584226771915,0.575777993053248,0.000588341668040247,96
20,P_E20,PA_E20,seg_stage0,feature,96,0.9553553419699957,1.0014704126068084,0.4886110733559778,0.3112866038281711,0.008361593147625239,96
20,P_E20,PA_E20,seg_stage0,patch_subsample,96,0.92670592678207,1.0000000003575826,0.6409293509679467,0.8166054425977723,0.010404202867648748,96
20,P_E20,PA_E20,det_stage0,feature,96,0.7408980573924099,0.9432718662740683,0.9453855761376495,0.8095730234886638,0.0078076309038838075,96
20,P_E20,PA_E20,group_margin_stage0,patch_group,96,0.9965876433481493,1.011773744836172,0.6987759924919461,0.890006933764665,0.07627099962688125,96
20,P_E20,PA_E20,native_fused_margin_stage0,patch,96,0.9982457630878189,1.0013887669769048,0.9104021910179851,0.9182062775440184,0.4168182341055862,96
20,P_E20,PA_E20,stage_probability_stage0,patch,96,0.2675786783001924,529.936561801451,0.805414661562699,0.3586524344044323,0.001492763426914058,96
20,P_E20,PA_E20,seg_stage1,feature,96,0.9478892596280493,0.9926612162480444,0.850549047497622,0.9106528525008127,0.009074311912215452,96
20,P_E20,PA_E20,seg_stage1,patch_subsample,96,0.9252791812116042,1.0000000003220022,0.5698541865411554,0.9282666078115586,0.010663966724874066,96
20,P_E20,PA_E20,det_stage1,feature,96,0.856135752284137,0.9708093564491008,0.9301030910536098,0.8791441023213553,0.006852578695981785,96
20,P_E20,PA_E20,group_margin_stage1,patch_group,96,0.9941224813946624,1.0007318575613282,0.7833017799803551,0.9339632486742938,0.0890024321296637,96
20,P_E20,PA_E20,native_fused_margin_stage1,patch,96,0.9980317621727011,0.9959326218048655,0.9320000039829042,0.9361879040133878,0.29950261413983875,96
20,P_E20,PA_E20,stage_probability_stage1,patch,96,0.1384250009672055,104489.6871742425,0.7845707513302439,0.18707638964959314,0.0021256941247078235,96
20,P_E20,PA_E20,seg_stage2,feature,96,0.8900780348416092,1.0175210485425958,0.626177689170598,0.5359696725584892,0.011558402376399858,96
20,P_E20,PA_E20,seg_stage2,patch_subsample,96,0.84014992226514,1.000000000498999,0.37047024779361826,0.7283624895954068,0.014301474567985513,96
20,P_E20,PA_E20,det_stage2,feature,96,0.8584803602638201,1.0256617219912052,0.856649805542314,0.8438711318954114,0.01215900819303069,96
20,P_E20,PA_E20,group_margin_stage2,patch_group,96,0.9323204268774808,1.1119288799265656,0.39115158942984535,0.6372940131398657,0.23879436688662345,96
20,P_E20,PA_E20,native_fused_margin_stage2,patch,96,0.9558837423982568,1.0419228674602117,0.6437653708100853,0.6261025996766886,1.9486444941548595,96
20,P_E20,PA_E20,stage_probability_stage2,patch,96,0.17987221396624722,154541.97157685252,0.4690375359287132,0.6623793006787633,0.029762214595467445,96
20,P_E20,PA_E20,text_normal_abnormal_groups,feature,48,0.9450692144284272,0.999999995000374,0.9974008057915741,0.9939650236503388,0.008694286948196942,48
20,P_E20,PA_E20,native_deployed_map,pixel,96,0.17176100214721438,5.82572452135778,0.9912970047460244,0.9146212600332176,0.0002134355565084923,96
20,P_E20,PA_E20,native_raw_map,pixel,96,0.18144671983626537,119.58752359257925,0.918403716801149,0.6503217793002158,0.0007300063588695624,96
