epoch,metric,P_native_no_anchor,CIR_native_no_anchor,PA_native_anchor,CIR_native_anchor,CIR_no_anchor_minus_P,anchor_no_CIR_minus_P,anchor_with_CIR_minus_CIR_no_anchor,CIR_with_anchor_minus_PA,interaction,evaluator_git_sha,frozen_source_matrix_sha256
10,pixel_auroc,0.9718331156740962,0.9275117531454271,0.9409943916340812,0.9363427821187615,-0.04432136252866914,-0.030838724040015086,0.008831028973334432,-0.004651609515319621,0.03966975301334952,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
10,pixel_ap,0.4949767817164079,0.4626210940744351,0.44647793754521975,0.5241297136356572,-0.03235568764197283,-0.04849884417118816,0.06150861956122211,0.07765177609043744,0.11000746373241027,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
10,image_auroc,0.9691840277777778,0.9592013888888888,0.9596354166666666,0.9565972222222222,-0.00998263888888895,-0.00954861111111116,-0.0026041666666666297,-0.0030381944444444198,0.006944444444444531,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
10,image_ap,0.9739874960951798,0.9671114455979801,0.969929044645863,0.9621669207389834,-0.006876050497199637,-0.004058451449316713,-0.004944524858996768,-0.007762123906879692,-0.0008860734096800549,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
12,pixel_auroc,0.9605990320026057,0.9372797640037236,0.9595426228864268,0.9622300274477298,-0.023319267998882065,-0.0010564091161788802,0.024950263444006193,0.0026874045613030084,0.026006672560185073,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
12,pixel_ap,0.4573300920889267,0.4595460803652942,0.49772119152662025,0.5400545272313739,0.0022159882763674865,0.040391099437693534,0.08050844686607972,0.04233333570475367,0.040117347428386185,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
12,image_auroc,0.9861111111111112,0.9670138888888888,0.98046875,0.94140625,-0.01909722222222232,-0.0056423611111111605,-0.02560763888888884,-0.0390625,-0.01996527777777768,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
12,image_ap,0.986964447863963,0.9730585310338221,0.9837707830546345,0.9594091520679859,-0.013905916830140863,-0.003193664809328478,-0.013649378965836179,-0.024361630986648564,-0.0104557141565077,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
14,pixel_auroc,0.961153083092938,0.9378951387732162,0.9587822723651932,0.9585668986124577,-0.023257944319721835,-0.00237081072774481,0.02067175983924152,-0.00021537375273550374,0.02304257056698633,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
14,pixel_ap,0.4756023564118824,0.513409215690459,0.5110024087516958,0.5402163539878451,0.03780685927857663,0.03540005233981336,0.026807138297386013,0.029213945236149286,-0.008592914042427346,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
14,image_auroc,0.9852430555555556,0.9822048611111112,0.9817708333333334,0.9769965277777778,-0.0030381944444444198,-0.00347222222222221,-0.00520833333333337,-0.00477430555555558,-0.0017361111111111605,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
14,image_ap,0.986690049743004,0.9844964527264322,0.985121977422598,0.981158068657559,-0.0021935970165718466,-0.001568072320406011,-0.0033383840688732125,-0.003963908765039048,-0.0017703117484672015,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
16,pixel_auroc,0.954717579317569,0.9513386568857485,0.9620747520862454,0.9637195270321032,-0.0033789224318204747,0.007357172768676423,0.012380870146354694,0.0016447749458577965,0.005023697377678271,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
16,pixel_ap,0.4709689477631647,0.4800598905252289,0.4925367508345882,0.5423002845050447,0.00909094276206418,0.021567803071423475,0.062240393979815845,0.04976353367045655,0.04067259090839237,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
16,image_auroc,0.9908854166666666,0.9921875,0.9887152777777778,0.9835069444444444,0.0013020833333333703,-0.0021701388888888395,-0.00868055555555558,-0.00520833333333337,-0.006510416666666741,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
16,image_ap,0.9918278100290037,0.9932369608741389,0.9903655538302278,0.9860975174351163,0.0014091508451352652,-0.0014622561987758242,-0.007139443439022619,-0.00426803639511153,-0.005677187240246795,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
18,pixel_auroc,0.9692251299971568,0.9569664721157103,0.9685566723752889,0.9684995872272184,-0.012258657881446533,-0.0006684576218679572,0.011533115111508119,-5.708514807045706e-05,0.012201572733376076,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
18,pixel_ap,0.48556153984230804,0.36762411828863056,0.5504762630031887,0.5139898163693117,-0.11793742155367748,0.0649147231608807,0.14636569808068117,-0.03648644663387701,0.08145097491980047,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
18,image_auroc,0.9709201388888888,0.9939236111111112,0.9769965277777778,0.9787326388888888,0.02300347222222232,0.006076388888888951,-0.015190972222222321,0.0017361111111110494,-0.02126736111111127,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
18,image_ap,0.9768491037042383,0.9946653189577717,0.979262004902496,0.9817828032099363,0.017816215253533385,0.0024129011982577664,-0.012882515747835388,0.0025207983074402307,-0.015295416946093154,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
20,pixel_auroc,0.9610675116753277,0.9597833100867541,0.9741179344698371,0.9713990943650904,-0.0012842015885735636,0.013050422794509409,0.011615784278336316,-0.002718840104746656,-0.0014346385161730923,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
20,pixel_ap,0.47466737499420975,0.5489931900084172,0.5476727072159776,0.5380940796113636,0.07432581501420743,0.07300533222176786,-0.010899110397053602,-0.009578627604614032,-0.08390444261882146,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
20,image_auroc,0.9839409722222222,0.9978298611111112,0.9900173611111112,0.9917534722222222,0.01388888888888895,0.006076388888888951,-0.006076388888888951,0.0017361111111110494,-0.012152777777777901,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
20,image_ap,0.9862724224800008,0.9980345911949685,0.9910809005490131,0.9926053839044036,0.011762168714967713,0.004808478069012301,-0.0054292072905649524,0.0015244833553904602,-0.010237685359577253,0987f67e92020e74cdae65e51b8a8676e08f3c84,f4f730829e0aa087a17e5d9e2198ef5dcc12b9c576cdb93babb71528990ad43e
