epoch,target,metric,P,C_OLD_0,PA,A0,CIR_no_anchor_minus_P,anchor_no_CIR_minus_P,anchor_with_CIR_minus_CIR_no_anchor,CIR_with_anchor_minus_PA,interaction,P_checkpoint_sha256,C_OLD_checkpoint_sha256,A0_checkpoint_sha256,PA_checkpoint_sha256
10,Retina,image_auroc,0.7061537184845421,0.7528592120946935,0.7704231231548401,0.8140191921782821,0.046705493610151416,0.06426940467029796,0.06115998008358858,0.04359606902344204,-0.003109424586709375,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Retina,image_ap,0.7209889964938678,0.7209427273156571,0.7683971851677611,0.7953812450726239,-4.626917821071164e-05,0.04740818867389329,0.07443851775696675,0.026984059904862745,0.027030329083073457,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_clinicDB,pixel_auroc,0.8572029362612525,0.8156366290711804,0.8750871698436974,0.8795116365213919,-0.04156630719007215,0.017884233582444842,0.06387500745021146,0.004424466677694472,0.04599077386776662,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_clinicDB,pixel_ap,0.44813780506804984,0.3919546592744091,0.483197195304193,0.513915820304149,-0.056183145793640754,0.03505939023614313,0.12196116102973986,0.03071862499995598,0.08690177079359673,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_colonDB,pixel_auroc,0.818144705850949,0.8075411278096858,0.8421091435865793,0.8381211859493957,-0.010603578041263217,0.023964437735630284,0.030580058139709876,-0.003987957637183626,0.006615620404079592,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_colonDB,pixel_ap,0.28927565452151943,0.2901220434335296,0.3049977207356405,0.2999027267616586,0.0008463889120101653,0.01572206621412109,0.00978068332812898,-0.005094993973981943,-0.005941382885992108,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_Kvasir,pixel_auroc,0.8240845862454276,0.788925133747022,0.8523862817023501,0.8507728278322308,-0.035159452498405575,0.028301695456922515,0.06184769408520885,-0.0016134538701192414,0.03354599862828633,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
10,Colon_Kvasir,pixel_ap,0.48830067072430694,0.4736252113182194,0.5224476864274337,0.5313234235806653,-0.014675459406087554,0.034147015703126726,0.057698212262445925,0.008875737153231644,0.0235511965593192,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
12,Brain,pixel_auroc,0.9295543301513558,0.929687293387707,0.9405131183925947,0.9377691931832263,0.00013296323635114682,0.01095878824123886,0.00808189979551932,-0.002743925209368392,-0.0028768884457195387,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Brain,pixel_ap,0.2600735574081048,0.23414758677473554,0.320277147259976,0.29202271160764554,-0.02592597063336924,0.06020358985187124,0.05787512483290999,-0.02825443565233049,-0.0023284650189612233,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Brain,image_auroc,0.7573932926829269,0.7838150406504065,0.800849593495935,0.8054197154471545,0.026421747967479647,0.04345630081300811,0.02160467479674799,0.00457012195121953,-0.021851626016260117,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Brain,image_ap,0.9245146688405362,0.933834068183961,0.9390840325977337,0.9460910506719351,0.009319399343424739,0.014569363757197418,0.012256982487974133,0.007007018074201454,-0.002312381269223285,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Liver,pixel_auroc,0.9475832775594345,0.9722265555782696,0.967259269592791,0.9517330883399017,0.024643278018835146,0.01967599203335646,-0.02049346723836798,-0.015526181252889293,-0.04016945927172444,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Liver,pixel_ap,0.0399293448751651,0.0985087560289694,0.05885820417328568,0.03822270569783547,0.0585794111538043,0.018928859298120583,-0.06028605033113393,-0.02063549847545021,-0.07921490962925451,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Liver,image_auroc,0.6308869002146313,0.582507548473935,0.6119284077267271,0.5960820691913129,-0.0483793517406963,-0.018958492487904266,0.013574520717377858,-0.015846338535414173,0.032533013205282124,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Liver,image_ap,0.5192465351463667,0.4827123311944729,0.48001826489880794,0.491763033442829,-0.03653420395189377,-0.039228270247558705,0.009050702248356135,0.011744768544021067,0.04827897249591484,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Retina,pixel_auroc,0.9110529862881778,0.8665723075748577,0.9299485902560347,0.9314499132775512,-0.044480678713320065,0.018895603967856944,0.06487760570269352,0.0015013230215165096,0.045982001734836575,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Retina,pixel_ap,0.4000384302241119,0.32193057332697983,0.3898361948813842,0.39064672818886254,-0.07810785689713207,-0.010202235342727684,0.0687161548618827,0.0008105333074783228,0.07891839020461039,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
12,Retina,image_auroc,0.7183965277044324,0.7497435007619536,0.742263530334807,0.8315768164923981,0.03134697305752121,0.023867002630374556,0.0818333157304445,0.08931328615759115,0.057966313100069944,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
