epoch,method,metric,value,checkpoint_sha256,source
14,PA,deployed_minus_raw_pixel_ap,-0.07631803048949981,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_raw_p99,6.626056148206771e-08,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_deployed_p99,3.580033691719109e-08,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_raw_p99.9,4.447363971848972e-05,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_deployed_p99.9,1.4472881048277486e-05,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly_raw_p50,3.745867172000317e-09,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly_deployed_p50,4.16190593099941e-09,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly_raw_p90,3.1701998182143143e-07,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly_deployed_p90,3.083936235270812e-07,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
16,PA,raw_pixel_auroc,0.9627359860342531,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,raw_pixel_ap,0.5879396509329545,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,deployed_pixel_auroc,0.9620747520862454,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,deployed_pixel_ap,0.4925367508345882,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
