epoch,metric,parent,pa,pa_minus_parent
10,pixel_auroc,0.9718331156740962,0.9409943916340812,-0.030838724040015086
10,pixel_ap,0.4949767817164079,0.44647793754521975,-0.04849884417118816
10,image_auroc,0.9691840277777778,0.9596354166666666,-0.00954861111111116
10,image_ap,0.9739874960951798,0.969929044645863,-0.004058451449316713
12,pixel_auroc,0.9605990320026057,0.9595426228864268,-0.0010564091161788802
12,pixel_ap,0.4573300920889267,0.49772119152662025,0.040391099437693534
12,image_auroc,0.9861111111111112,0.98046875,-0.0056423611111111605
12,image_ap,0.986964447863963,0.9837707830546345,-0.003193664809328478
14,pixel_auroc,0.961153083092938,0.9587822723651932,-0.00237081072774481
14,pixel_ap,0.4756023564118824,0.5110024087516958,0.03540005233981336
14,image_auroc,0.9852430555555556,0.9817708333333334,-0.00347222222222221
14,image_ap,0.986690049743004,0.985121977422598,-0.001568072320406011
16,pixel_auroc,0.954717579317569,0.9620747520862454,0.007357172768676423
16,pixel_ap,0.4709689477631647,0.4925367508345882,0.021567803071423475
16,image_auroc,0.9908854166666666,0.9887152777777778,-0.0021701388888888395
16,image_ap,0.9918278100290037,0.9903655538302278,-0.0014622561987758242
18,pixel_auroc,0.9692251299971568,0.9685566723752889,-0.0006684576218679572
18,pixel_ap,0.48556153984230804,0.5504762630031887,0.0649147231608807
18,image_auroc,0.9709201388888888,0.9769965277777778,0.006076388888888951
18,image_ap,0.9768491037042383,0.979262004902496,0.0024129011982577664
20,pixel_auroc,0.9610675116753277,0.9741179344698371,0.013050422794509409
20,pixel_ap,0.47466737499420975,0.5476727072159776,0.07300533222176786
20,image_auroc,0.9839409722222222,0.9900173611111112,0.006076388888888951
20,image_ap,0.9862724224800008,0.9910809005490131,0.004808478069012301
