epoch,metric,CIR_with_anchor_minus_PA,interaction,status
10,pixel_auroc,-0.004651609515319621,0.03966975301334952,source_association
10,pixel_ap,0.07765177609043744,0.11000746373241027,source_association
12,pixel_auroc,0.0026874045613030084,0.026006672560185073,source_association
12,pixel_ap,0.04233333570475367,0.040117347428386185,source_association
14,pixel_auroc,-0.00021537375273550374,0.02304257056698633,source_association
14,pixel_ap,0.029213945236149286,-0.008592914042427346,source_association
16,pixel_auroc,0.0016447749458577965,0.005023697377678271,source_association
16,pixel_ap,0.04976353367045655,0.04067259090839237,source_association
18,pixel_auroc,-5.708514807045706e-05,0.012201572733376076,source_association
18,pixel_ap,-0.03648644663387701,0.08145097491980047,source_association
20,pixel_auroc,-0.002718840104746656,-0.0014346385161730923,source_association
20,pixel_ap,-0.009578627604614032,-0.08390444261882146,source_association
