epoch,base_grad_l2,weighted_anchor_grad_l2,anchor_to_base_gradient_ratio,mean_anchor_loss,weighted_anchor_loss,anchor_reference_distance,probe_recorded
1,,,,0.2745414210736256,0.0002745414210736256,0.23891302943229675,False
2,,,,0.22361359640006542,0.00022361359640006543,0.21362793445587158,False
3,,,,0.20961176325409697,0.00020961176325409698,0.20691175758838654,False
4,,,,0.2057487209665478,0.00020574872096654784,0.20497283339500427,False
5,,,,0.2044837855813906,0.0002044837855813906,0.2034849226474762,False
6,,,,0.2053591556578792,0.0002053591556578792,0.20778964459896088,False
7,,,,0.20702277272526906,0.0002070227727252691,0.20788751542568207,False
8,,,,0.20943607971939024,0.00020943607971939023,0.20938365161418915,False
9,,,,0.21006846626049264,0.00021006846626049264,0.21135233342647552,False
10,0.5806549787521362,6.0293878050288185e-05,0.00010383770096979706,0.21236541215072377,0.00021236541215072376,0.21378391981124878,True
11,,,,0.21417159754318543,0.00021417159754318543,0.2149132639169693,False
12,,,,0.21534334341905123,0.00021534334341905123,0.21548745036125183,False
13,,,,0.21689829094092933,0.00021689829094092932,0.21731309592723846,False
14,,,,0.2183430159356125,0.00021834301593561252,0.21905726194381714,False
15,,,,0.219989378737941,0.00021998937873794102,0.2207207977771759,False
16,1.6408864259719849,5.1181079470552504e-05,3.119111637494058e-05,0.2214954686957383,0.0002214954686957383,0.22171548008918762,True
17,,,,0.22281515767534685,0.00022281515767534686,0.2244907170534134,False
18,0.9873389601707458,5.4197826102608815e-05,5.48928263635379e-05,0.2249350895346697,0.00022493508953466972,0.22547022998332977,True
19,,,,0.2265563357074505,0.00022655633570745052,0.22728201746940613,False
20,2.9151082038879395,5.325290112523362e-05,1.8267898616665115e-05,0.22755586684080373,0.00022755586684080373,0.2277701050043106,True
