epoch,reference,comparison,component,parameter_count,l2_distance,normalized_l2,cosine_flattened,relative_update_magnitude,max_abs_delta,diagnostic_reference,diagnostic_l2_to_p_e14,diagnostic_normalized_l2_to_p_e14,parent_checkpoint_sha256,pa_checkpoint_sha256
10,P_E10,PA_E10,image_adapter,14015247,136.0221173920381,0.5829320771203593,0.8283123040276442,0.5829320771203593,0.5824677646160126,P_E14,139.41766927735847,0.5863453695817461,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2
12,P_E12,PA_E12,image_adapter,14015247,139.38087747579877,0.5904396944932715,0.8236260997376794,0.5904396944932715,0.5877053290605545,P_E14,140.4624684433682,0.5907394550395508,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8
14,P_E14,PA_E14,image_adapter,14015247,141.3757345250815,0.5945803551276404,0.8213796309724587,0.5945803551276404,0.5798539221286774,P_E14,141.3757345250815,0.5945803551276404,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6
16,P_E16,PA_E16,image_adapter,14015247,142.8003692074122,0.5965639581820414,0.8202669844153758,0.5965639581820414,0.5766406804323196,P_E14,141.93494444468863,0.5969322101592542,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62
18,P_E18,PA_E18,image_adapter,14015247,144.08045685676572,0.5981717348978898,0.8193033689073324,0.5981717348978898,0.5768609941005707,P_E14,142.41244773108883,0.5989404336677382,562cdd488c6cc1ae5e7e51f5ed2768f4a9ebfe838a8bfd78bb914601d095283d,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d
20,P_E20,PA_E20,image_adapter,14015247,144.6844081199184,0.598408572703443,0.8195466145938524,0.598408572703443,0.5781712532043457,P_E14,142.86301484499364,0.6008353723960447,c394eb6bdc2a2456495fe4e94ee7648a54608e7de9a356aa36ae9627bcd6d4fd,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee
