target,epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,parent_config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Liver,14,PA,1493,0.9657724724019869,0.05560613457257022,0.6187838771872385,0.4835225606675096,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,14,PA,1805,0.9224614449527617,0.35207560487690703,0.7398431331130457,0.7239767369481422,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,14,PA,612,0.8657014575945219,0.44487408352687047,,,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_colonDB,14,PA,380,0.8322524879404444,0.28924479412545545,,,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_Kvasir,14,PA,1000,0.8483924203539187,0.5156987357322982,,,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Brain,16,PA,3715,0.9342889123287094,0.29471267431994824,0.8050701219512195,0.9407691274162994,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Liver,16,PA,1493,0.9673207991328777,0.05961472514700632,0.6112263087053003,0.4840320382966953,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,16,PA,1805,0.9127639626106828,0.3170816534809156,0.7471080968259477,0.7339606988942322,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,16,PA,612,0.8670452889831362,0.4442674267201796,,,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_colonDB,16,PA,380,0.8348456906901395,0.29746240853640177,,,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
