epoch,method,cohort,stat,value,n,checkpoint_sha256,source
12,PA,all,top_precision_0.005,0.22459548433181153,128796,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,all,top_precision_0.01,0.12703083570466359,257591,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,all,top_precision_0.02,0.0662309630383049,515182,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,all,top_precision_0.05,0.027844916941973906,1287955,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
14,PA,normal,p10,2.437045454328768e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p50,2.6785624829273047e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p90,4.582674684172616e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p95,7.036413673944253e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p99,3.580033620664837e-08,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p99.5,9.595904561620462e-08,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal,p99.9,1.4472881374785595e-05,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p10,2.6406994368954884e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p50,4.16190593099941e-09,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p90,3.0839361500056906e-07,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p95,2.413800962131049e-06,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
