epoch,mean_loss,mean_base_loss,mean_cls,mean_seg,mean_kg,mean_k,mean_anchor_loss,weighted_anchor_loss,lambda_image_anchor,anchor_reference_distance,alpha,beta,soft_prompt_frozen,image_lr,text_lr,prompt_lr,scheduler_last_epoch,scheduler_step_count,elapsed_seconds,samples_per_sec,host_rss_bytes,peak_vram_allocated,peak_vram_reserved,batches,checkpoint_saved
1,1.3689571746168374,1.3686826351276726,0.6860588846774642,0.6821106954005617,0.5130556062730726,0.0,0.2745414210736256,0.0002745414210736256,0.001,0.23891302943229675,0.0,0.0,True,0.0009000000000000001,0.00045000000000000004,0.0,1,2,841.2260283268988,2.574813340366944,4170113024,8892277760,10949230592,361,False
2,1.1909055095630339,1.190681893739674,0.6742463719481576,0.5158420344634069,0.5934889253817106,0.0,0.22361359640006542,0.00022361359640006543,0.001,0.21362793445587158,0.0,0.0,True,0.0008100000000000001,0.00040500000000000003,0.0,2,3,841.4299616701901,2.5741892952095675,4317917184,8891075584,10949230592,361,False
3,1.1049104265228864,1.1047008158097307,0.6362796293731542,0.4678170413109074,0.6041420965643801,0.0,0.20961176325409697,0.00020961176325409698,0.001,0.20691175758838654,0.0,0.0,True,0.000729,0.0003645,0.0,3,4,839.9446093416773,2.5787414740332033,4317917184,8891112448,10951327744,361,False
4,0.9669284054447079,0.9667226553293476,0.5082691296976359,0.4579060881132895,0.5474434456171422,0.0,0.2057487209665478,0.00020574872096654784,0.001,0.20497283339500427,0.05,0.05,False,0.0006561000000000001,0.00032805000000000003,9e-05,4,5,854.5540380049497,2.534655391783959,4317962240,9268560896,11358175232,361,False
5,0.9369924418483745,0.9367879599415364,0.4975453344408495,0.43879957866553126,0.44304676052606007,0.0,0.2044837855813906,0.0002044837855813906,0.001,0.2034849226474762,0.1,0.05,False,0.00059049,0.000295245,9e-05,5,6,852.8430674523115,2.5397404078929404,4317962240,9268172288,11358175232,361,False
6,0.9029232572320426,0.9027178993350581,0.4776124032085292,0.42463766129744185,0.4678344185002293,0.0,0.2053591556578792,0.0002053591556578792,0.001,0.20778964459896088,0.2,0.05,False,0.000531441,0.0002657205,9e-05,6,7,853.5661335489713,2.53758896336968,4318056448,9267064320,11358175232,361,False
7,0.8732312400090066,0.873024216484165,0.46947544879200054,0.4030311450547954,0.5176231265068054,0.0,0.20702277272526906,0.0002070227727252691,0.001,0.20788751542568207,0.2,0.1,False,0.0004782969,0.00023914845,9e-05,7,8,855.4250458958559,2.532074563858048,4318199808,9266839040,11358175232,361,False
8,0.8384820917141405,0.8382726563476129,0.45309876677402167,0.3846657240654953,0.5081635788702238,0.0,0.20943607971939024,0.00020943607971939023,0.001,0.20938365161418915,0.2,0.1,False,0.00043046721,0.000215233605,9e-05,8,9,857.3899571318179,2.526271718000765,4318302208,9267814912,11358175232,361,False
9,0.8223170005713804,0.822106929944823,0.44240476636840365,0.3792138684107574,0.48829497871636685,0.0,0.21006846626049264,0.00021006846626049264,0.001,0.21135233342647552,0.2,0.1,False,0.000387420489,0.0001937102445,9e-05,9,10,855.6251859231852,2.5314822841066476,4318302208,9267381248,11358175232,361,False
10,0.8030342609928586,0.8028218965781363,0.43517848453033003,0.3671660499332519,0.4773649334742422,0.0,0.21236541215072377,0.00021236541215072376,0.001,0.21378391981124878,0.2,0.1,False,0.0003486784401,0.00017433922005,9e-05,10,11,858.4024081667885,2.5232920823529934,4318302208,10818372096,11391729664,361,True
