epoch,mean_loss,mean_base_loss,mean_cls,mean_seg,mean_kg,mean_k,mean_anchor_loss,weighted_anchor_loss,lambda_image_anchor,anchor_reference_distance,alpha,beta,soft_prompt_frozen,image_lr,text_lr,prompt_lr,scheduler_last_epoch,scheduler_step_count,elapsed_seconds,samples_per_sec,host_rss_bytes,peak_vram_allocated,peak_vram_reserved,batches,checkpoint_saved
11,0.7898484593117997,0.789634285871342,0.4220371980663812,0.3671292400250722,0.46785043085050715,0.0,0.21417159754318543,0.00021417159754318543,0.001,0.2149132639169693,0.2,0.1,False,0.00031381059609000004,0.00015690529804500002,9e-05,11,12,854.8685166239738,2.533722973626301,4318302208,9268454400,11391729664,361,False
12,0.7682433697160261,0.7680280262248338,0.41335152535392305,0.3542237278806701,0.452770515409533,0.0,0.21534334341905123,0.00021534334341905123,0.001,0.21548745036125183,0.2,0.1,False,0.00028242953648100003,0.00014121476824050002,9e-05,12,13,857.1336051467806,2.5270272767208577,4318445568,9266928128,11391729664,361,True
13,0.7563103236815275,0.7560934269197099,0.40619077655251995,0.34946097854597086,0.4416735599906161,0.0,0.21689829094092933,0.00021689829094092932,0.001,0.21731309592723846,0.2,0.1,False,0.00025418658283290005,0.00012709329141645002,9e-05,13,14,856.3024940099567,2.529479961989711,4318445568,9267630592,11391729664,361,False
14,0.7445300557441659,0.7443117141063194,0.3997661378079834,0.34412262287929946,0.42295335509770465,0.0,0.2183430159356125,0.00021834301593561252,0.001,0.21905726194381714,0.2,0.1,False,0.00022876792454961005,0.00011438396227480502,9e-05,14,15,854.5929738180712,2.534539911231596,4318445568,9268668928,11391729664,361,True
15,0.7477200526609975,0.7475000634748189,0.40138048433035695,0.34570995915340585,0.4096186932929665,0.0,0.219989378737941,0.00021998937873794102,0.001,0.2207207977771759,0.2,0.1,False,0.00020589113209464906,0.00010294556604732453,9e-05,15,16,855.7565146167763,2.531093790118531,4318445568,9266931200,11391729664,361,False
16,0.7352102316317466,0.7349887351580274,0.3948562915883236,0.3397363872058339,0.39605710612109496,0.0,0.2214954686957383,0.0002214954686957383,0.001,0.22171548008918762,0.2,0.1,False,0.00018530201888518417,9.265100944259208e-05,9e-05,16,17,857.6129677668214,2.5256147952614905,4318445568,9853575680,11391729664,361,True
17,0.722215362202758,0.721992546831802,0.3868167993929908,0.3347899175850143,0.3858284265876147,0.0,0.22281515767534685,0.00022281515767534686,0.001,0.2244907170534134,0.2,0.1,False,0.00016677181699666576,8.338590849833288e-05,9e-05,17,18,855.7412256472744,2.531139011517949,4318445568,9267297792,11391729664,361,False
18,0.7219506268521095,0.7217256925442873,0.38363359699288896,0.3377178341996472,0.3742609826481573,0.0,0.2249350895346697,0.00022493508953466972,0.001,0.22547022998332977,0.2,0.1,False,0.0001500946352969992,7.50473176484996e-05,9e-05,18,19,859.0399068319239,2.5214195321705706,4318445568,10818372096,11391729664,361,True
19,0.7055014508913098,0.7052748920679753,0.37604499020074544,0.32886761402159187,0.3622897354849818,0.0,0.2265563357074505,0.00022655633570745052,0.001,0.22728201746940613,0.2,0.1,False,0.0001350851717672993,6.754258588364964e-05,9e-05,19,20,856.2091279751621,2.5297557912309876,4318445568,9268668928,11391729664,361,False
20,0.6998207598842082,0.6995932036324551,0.3729812319176349,0.3262623409299474,0.34962895892333457,0.0,0.22755586684080373,0.00022755586684080373,0.001,0.2277701050043106,0.2,0.1,False,0.00012157665459056936,6.078832729528468e-05,9e-05,20,21,857.6258025839925,2.525576998119609,4318445568,10331571712,11391729664,361,True
