epoch,metric,n_targets,P,C_OLD_0,PA,A0,CIR_no_anchor_minus_P,anchor_no_CIR_minus_P,anchor_with_CIR_minus_CIR_no_anchor,CIR_with_anchor_minus_PA,interaction
10,pixel_auroc,6,0.8791183736658615,0.8649981174325291,0.8974958600083921,0.8928308767181323,-0.014120256233332462,0.018377486342530558,0.027832759285603248,-0.004664983290259772,0.00945527294307269
10,pixel_ap,6,0.31809332672430074,0.2995771207621866,0.34587157724164524,0.33546450560177193,-0.01851620596211412,0.027778250517344505,0.03588738483958531,-0.010407071639873311,0.008109134322240807
10,image_auroc,3,0.699124648588714,0.716896710229062,0.7470287770957723,0.7249728932113394,0.017772061640347947,0.047904128507058275,0.008076182982277413,-0.022055883884432914,-0.03982794552478086
10,image_ap,3,0.7221927152721377,0.7171434247235994,0.7407682218015084,0.7350188600018522,-0.00504929054853831,0.018575506529370678,0.01787543527825286,-0.0057493617996561275,-0.0007000712511178175
12,pixel_auroc,6,0.8878002215875261,0.8681865202848463,0.9030534811138363,0.8964411735823176,-0.01961370130267981,0.015253259526310181,0.028254653297471233,-0.006612307531518757,0.013001393771161052
12,pixel_ap,6,0.3274349979736307,0.3015308288938933,0.3475161726397524,0.33882565011047183,-0.02590416907973736,0.020081174666121693,0.03729482121657851,-0.008690522529280542,0.017213646550456818
12,image_auroc,3,0.702225573533997,0.7053553632954318,0.718347177185823,0.7443595337102885,0.0031297897614348535,0.016121603651826022,0.03900417041485671,0.02601235652446554,0.022882566763030687
12,image_ap,3,0.7240453591351899,0.7207898708835735,0.7144716788626475,0.7459116881538193,-0.0032554882516163675,-0.009573680272542351,0.02512181727024576,0.031440009291171744,0.03469549754278811
14,pixel_auroc,6,0.8822626562213105,0.8682751291403945,0.8958735394356503,0.8971543426372771,-0.013987527080915996,0.013610883214339786,0.028879213496882605,0.0012808032016268234,0.015268330282542819
14,pixel_ap,6,0.3233083578750997,0.3101505837760948,0.33098741936885084,0.33873796975571097,-0.013157774099004926,0.007679061493751138,0.028587385979616187,0.007750550386860122,0.02090832448586505
14,image_auroc,3,0.6779740167280496,0.7121413325431941,0.7196122893412872,0.7252245531820921,0.03416731581514454,0.041638272613237604,0.013083220638897997,0.005612263840804932,-0.028555051974339607
14,image_ap,3,0.7048566721417805,0.7254293412332075,0.7144099072288513,0.7320427982728828,0.020572669091426965,0.009553235087070844,0.006613457039675308,0.01763289104403143,-0.002939778047395536
16,pixel_auroc,6,0.8815486899597714,0.8708857400649649,0.8947345541159906,0.8970948421034909,-0.01066294989480654,0.01318586415621914,0.026209102038526,0.00236028798750032,0.01302323788230686
16,pixel_ap,6,0.322745266039576,0.308629887241822,0.32321097248504926,0.3376763863954482,-0.014115378797753986,0.00046570644547327955,0.029046499153626226,0.014465413910398961,0.028580792708152947
16,image_auroc,3,0.6813360828437119,0.7084252572577553,0.7211348424941558,0.7298368648574082,0.02708917441404335,0.03979875965044388,0.021411607599652882,0.008702022363252349,-0.018387152050791
16,image_ap,3,0.7100127764641092,0.7208030226992942,0.7195872882024089,0.740355571768981,0.010790246235184986,0.009574511738299707,0.019552549069686842,0.02076828356657212,0.009978037331387135
18,pixel_auroc,6,0.8849673502064085,0.8772082843993494,0.8919851671566382,0.8957106175050913,-0.007759065807059096,0.007017816950229738,0.018502333105741897,0.0037254503484530632,0.011484516155512159
18,pixel_ap,6,0.32938851138195085,0.3064270442349069,0.3201364260048697,0.3315106948341931,-0.022961467147043946,-0.009252085377081165,0.02508365059928619,0.011374268829323408,0.034335735976367354
18,image_auroc,3,0.6840452398666014,0.7096385086826548,0.7415864849970707,0.7436255681049166,0.025593268816053394,0.05754124513046932,0.03398705942226188,0.0020390831078459515,-0.023554185708207442
18,image_ap,3,0.7096873564169832,0.7211645890389664,0.7304826767632897,0.7521155266111057,0.011477232621983191,0.02079532034630649,0.030950937572139292,0.021632849847815994,0.010155617225832803
20,pixel_auroc,6,0.8794565011252627,0.8725483150042436,0.8930501101118017,0.8945538026933936,-0.0069081861210191775,0.013593608986538941,0.022005487689150005,0.0015036925815918867,0.008411878702611064
20,pixel_ap,6,0.32751053321707435,0.30243126366473194,0.3160570976765607,0.3305612993814239,-0.02507926955234241,-0.011453435540513646,0.02813003571669198,0.014504201704863218,0.03958347125720563
20,image_auroc,3,0.6894104518324536,0.6992754549831149,0.7274375069906779,0.7387622888645073,0.0098650031506613,0.03802705515822424,0.0394868338813924,0.01132478187382946,0.0014597787231681592
20,image_ap,3,0.709636289230577,0.7218284091769421,0.7188889500161958,0.7450617670587691,0.012192119946365154,0.009252660785618816,0.02323335788182701,0.02617281704257335,0.013980697096208194
