threshold,coverage,acted_patches,opposite_sign_errors,opposite_sign_rate,relative_opposite_sign_reduction,risk_gate_pass
unfiltered,0.5097267430192399,1508678,171534,0.11369821790998477,,False
0.5,0.24766384505864966,733030,104913,0.14312238244000927,-0.2587917829399904,False
0.6,0.08111757030425931,240090,72849,0.3034237161064601,-1.6686760943490033,False
0.7,0.03979116001267663,117773,52195,0.4431830725208664,-2.897889348377789,False
0.8,0.028058523308167032,83047,37580,0.4525148409936542,-2.9799642361317535,False
0.9,0.0212546346381384,62909,26889,0.4274269182469917,-2.7593106216087477,False
