source_path,archive_path,relative_path,size_bytes,source_sha256,archive_sha256,byte_parity,mode,source_mtime_ns,archive_mtime_ns
runs/h2_ha_replication_e15_seed1/A/adapter_10.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_10.pth,A/adapter_10.pth,281568362,4a35544ffa74d4e6354ab13998be673888a56478e5e8365881ae6a6378e8c85a,4a35544ffa74d4e6354ab13998be673888a56478e5e8365881ae6a6378e8c85a,PASS,0o664,1788474137842475407,1788474137842475407
runs/h2_ha_replication_e15_seed1/A/adapter_11.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_11.pth,A/adapter_11.pth,281568362,8debe92819fea31c1002aba1c7d2286db779ff186465868660a7b41009a80434,8debe92819fea31c1002aba1c7d2286db779ff186465868660a7b41009a80434,PASS,0o664,1788475166647013333,1788475166647013333
runs/h2_ha_replication_e15_seed1/A/adapter_12.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_12.pth,A/adapter_12.pth,281568362,534f1e85c1f1d19eecbba00316bfd3a116738293ef96b25f389373f163c93a57,534f1e85c1f1d19eecbba00316bfd3a116738293ef96b25f389373f163c93a57,PASS,0o664,1788476198631670432,1788476198631670432
runs/h2_ha_replication_e15_seed1/A/adapter_13.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_13.pth,A/adapter_13.pth,281568362,bdc10f86657325d6db4e253e636cd534d1627f1aae511208be7727343d0906cf,bdc10f86657325d6db4e253e636cd534d1627f1aae511208be7727343d0906cf,PASS,0o664,1788477227995395091,1788477227995395091
runs/h2_ha_replication_e15_seed1/A/adapter_14.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_14.pth,A/adapter_14.pth,281568362,6856ab407afab024339726691bb8b5874214835960a6c96201298ba20308b4c4,6856ab407afab024339726691bb8b5874214835960a6c96201298ba20308b4c4,PASS,0o664,1788478258939133249,1788478258939133249
runs/h2_ha_replication_e15_seed1/A/adapter_15.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_15.pth,A/adapter_15.pth,281568362,40db05af5ff9d75e6cae792a2df0cbdcc1afc1181cc88a9dac18ef2df6aaba99,40db05af5ff9d75e6cae792a2df0cbdcc1afc1181cc88a9dac18ef2df6aaba99,PASS,0o664,1788479290562561519,1788479290562561519
runs/h2_ha_replication_e15_seed1/A/adapter_2.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_2.pth,A/adapter_2.pth,281516811,f6f871d4af898463281d9a89182b9d47b1213a086d7dde65c92d1fc9e9c741e7,f6f871d4af898463281d9a89182b9d47b1213a086d7dde65c92d1fc9e9c741e7,PASS,0o664,1788465904347946410,1788465904347946410
runs/h2_ha_replication_e15_seed1/A/adapter_3.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_3.pth,A/adapter_3.pth,281516811,56e135394d6f8acc58bbaf2e555246d27ec750a1d6eec33c32fd83043d741c4a,56e135394d6f8acc58bbaf2e555246d27ec750a1d6eec33c32fd83043d741c4a,PASS,0o664,1788466915178287648,1788466915178287648
runs/h2_ha_replication_e15_seed1/A/adapter_4.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_4.pth,A/adapter_4.pth,281567691,232e55c0c2fe5487a42ccfdbe5daba28c6f1d67ec7406293b2b9244cee31a95f,232e55c0c2fe5487a42ccfdbe5daba28c6f1d67ec7406293b2b9244cee31a95f,PASS,0o664,1788467946385114124,1788467946385114124
runs/h2_ha_replication_e15_seed1/A/adapter_5.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_5.pth,A/adapter_5.pth,281567691,8eb38252d9b9d2de61f0c211933bb14723fc3ab54e4fa7b065fa97f4820fdc64,8eb38252d9b9d2de61f0c211933bb14723fc3ab54e4fa7b065fa97f4820fdc64,PASS,0o664,1788468978159809049,1788468978159809049
runs/h2_ha_replication_e15_seed1/A/adapter_6.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_6.pth,A/adapter_6.pth,281567691,50735628ab13c4d530ea08f4cab9ee410e1c4b41801626e3c6d7579879145d56,50735628ab13c4d530ea08f4cab9ee410e1c4b41801626e3c6d7579879145d56,PASS,0o664,1788470014313283461,1788470014313283461
runs/h2_ha_replication_e15_seed1/A/adapter_7.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_7.pth,A/adapter_7.pth,281567691,69eda2d54101f56f7a7b97aff51ed8a385181a1e6af4ca50f91db3b5f0e2cf41,69eda2d54101f56f7a7b97aff51ed8a385181a1e6af4ca50f91db3b5f0e2cf41,PASS,0o664,1788471046746598926,1788471046746598926
runs/h2_ha_replication_e15_seed1/A/adapter_8.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_8.pth,A/adapter_8.pth,281567691,5e357be1e4bdf34594448236dd4fbe2062d3fd529f4e4ea725e2e9626b4427c7,5e357be1e4bdf34594448236dd4fbe2062d3fd529f4e4ea725e2e9626b4427c7,PASS,0o664,1788472078881348144,1788472078881348144
runs/h2_ha_replication_e15_seed1/A/adapter_9.pth,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/adapter_9.pth,A/adapter_9.pth,281567691,c13855e3d48c6075cc18f401480916f558b660f11e8758995e2c40ca422a0ea5,c13855e3d48c6075cc18f401480916f558b660f11e8758995e2c40ca422a0ea5,PASS,0o664,1788473108232262086,1788473108232262086
runs/h2_ha_replication_e15_seed1/A/train.log,forensic_archive/seed1/h2_ha_replication_e15_seed1/A/train.log,A/train.log,31735637,63b4a6e32eb7b701d910d205d49b7a27c9dca3bd804729b0c84ec0e8238401af,63b4a6e32eb7b701d910d205d49b7a27c9dca3bd804729b0c84ec0e8238401af,PASS,0o664,1788479290411552627,1788479290411552627
