metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,15,current_shared,,94.22,27.62,,
pixel,Liver,15,current_shared,,96.41,5.1,,
pixel,Retina,15,current_shared,,92.78,36.76,,
pixel,Colon_clinicDB,15,current_shared,,88.97,48.3,,
pixel,Colon_colonDB,15,current_shared,,82.52000000000001,27.889999999999997,,
pixel,Colon_Kvasir,15,current_shared,,88.38000000000001,59.14,,
image,Brain,15,current_shared,cls_only,,,80.06,93.91
image,Liver,15,current_shared,cls_only,,,60.55,53.83
image,Retina,15,current_shared,cls_only,,,75.24,70.04
