metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,13,current_shared,,92.58,25.990000000000002,,
pixel,Liver,13,current_shared,,92.12,4.87,,
pixel,Retina,13,current_shared,,88.25,36.69,,
pixel,Colon_clinicDB,13,current_shared,,88.78,51.839999999999996,,
pixel,Colon_colonDB,13,current_shared,,80.47999999999999,26.779999999999998,,
pixel,Colon_Kvasir,13,current_shared,,89.13,62.2,,
image,Brain,13,current_shared,cls_only,,,78.96,93.82
image,Liver,13,current_shared,cls_only,,,68.12,60.73
image,Retina,13,current_shared,cls_only,,,79.80,74.74
