epoch,medical_macro_pixel_ap,medical_macro_pixel_auroc
1,30.378434,82.55896716666666
2,25.52811866666666,81.02954766666666
3,24.158977500000002,80.475509
4,24.075619666666668,79.55144999999999
5,23.487109166666666,80.95719533333333
6,23.952970333333337,84.25386733333335
7,21.600046333333335,81.48954350000001
8,19.211721999999998,79.74903400000001
9,21.579254333333335,81.57392783333333
10,20.9021115,81.64972283333334
11,20.302790166666664,81.9882455
12,21.220997166666667,83.28008583333333
13,20.835093333333337,82.30299950000001
14,21.735002166666664,81.94669733333333
15,23.402822666666665,83.43046966666667
16,23.69518066666667,83.3951345
17,23.185485333333332,82.94387916666668
18,20.971059,83.34751916666666
19,23.429213500000003,83.92709733333334
20,21.843131666666665,83.693066
