epoch,total,task,cls,seg,center,router_teacher,router_teacher_weighted,router_teacher_scheduled_weight,router_teacher_effective_weight,vae_rec,vae_kl_raw,vae_kl_effective,utility_factor,utility_router,utility_act,utility_act_weighted,kg,orth,balance,concept_key_diversity_raw,concept_key_diversity_weighted,dynamic_mean_anchor_raw,dynamic_mean_anchor_weighted,route_raw,route_weight,route_weighted,factor_role_raw,factor_role_weight,factor_role_weighted,actual_local_raw,actual_local_weight,actual_local_weighted,dynamic_mean_anchor_weight,expert,advantage,etf,expert_anchor,expert_radius,expert_weight,advantage_weight,etf_weight,balance_weight,expert_delta_norm,loss_component_sum,loss_component_residual,expert_assigned_normal,expert_assigned_abnormal,selected_expert_loss,nonselected_expert_loss,expert_advantage_margin_satisfied_fraction,expert_assigned_raw,expert_assigned_weight,expert_assigned_weighted,expert_advantage_raw,expert_advantage_weight,expert_advantage_weighted,expert_etf_raw,expert_etf_weight,expert_etf_weighted,expert_balance_dense_raw,expert_balance_prediction_raw,expert_balance_weight,expert_balance_weighted,expert_anchor_raw,expert_anchor_weight,expert_anchor_weighted,expert_radius_raw,expert_radius_weight,expert_radius_weighted,legacy_pre_expert_orth_raw,legacy_pre_expert_orth_weight,legacy_pre_expert_orth_weighted,delta_t_diversity_raw,delta_t_diversity_weight,delta_t_diversity_weighted,functional_factor_diversity_raw,functional_factor_diversity_weight,functional_factor_diversity_weighted,cluster_resp_raw,cluster_resp_weight,cluster_resp_weighted,cluster_target_entropy,cluster_router_entropy,task_rolling_median,weight_center,weight_center_factor_aware,weight_center_detach_assignment,weight_center_margin,weight_router_teacher,weight_router_teacher_temperature,weight_router_teacher_start_epoch,weight_router_teacher_warmup_epochs,weight_teacher_confidence_gate,weight_teacher_entropy_threshold,weight_teacher_prob_std_threshold,weight_router_teacher_mode,weight_vae_rec,weight_vae_kl_zero_epochs,weight_vae_kl_warmup_epochs,weight_vae_kl_free_bits,weight_vae_class_ratio,weight_orth,weight_delta_t_diversity,weight_functional_factor_diversity,weight_functional_factor_diversity_target,weight_balance,weight_concept_key_diversity,weight_concept_key_cosine_margin,weight_concept_key_diversity_start_epoch,weight_concept_key_diversity_warmup_epochs,weight_kg,weight_k,weight_dynamic_mean_anchor,weight_dynamic_mean_anchor_min_cosine,weight_dynamic_mean_anchor_start_epoch,weight_dynamic_mean_anchor_warmup_epochs,weight_cluster_responsibility,weight_cluster_temperature,weight_cluster_loss_weight,weight_utility_factor,weight_utility_router,weight_utility_act,weight_act_effective_beta
1,1.4257262676375315,1.3964973292783054,0.687231972262222,0.7092653554308536,1.071256364417451,0.0,0.0,0.0,0.0,0.010073237362066603,0.12812255896372887,0.12812255896372887,0.9421433151352149,0.24947799416082586,0.5561718327181964,4.135371804292208e-05,0.30917008122589495,0.633345258569519,0.0019892640654195007,0.0,0.0,0.031938784792206756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4257262676375315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019892640654195007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633345258569519,0.0,0.0,0.0,0.0,0.0,0.39612374186626087,1.0012450246676963e-07,3.9661692579994034e-08,0.0,0.0,0.0,0.0,0.0,1.3964973292783054,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.0,0.0,1.0012450025048378e-07,factor_residual_logits,0.0,0.0,0.5,1,3,0.001,0.0,0.001,0.7,4,3,False,0.1,0.0,0.03,0.00044262806523447237,7.435420936678605e-05,0.999
2,1.3249073839375092,1.2894371615914038,0.6745278718954539,0.6149092899165034,1.1278357165042832,0.0,0.0,0.0,0.0,0.0015330470639761712,0.11191293897725828,0.11191293897725828,1.171470502016074,0.00969478784322708,0.3706052550885768,2.755606148418912e-05,0.21479407823355964,0.590867015358257,0.0025505932779408902,0.0,0.0,0.0011326159246382518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3249073839375092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025505932779408902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590867015358257,0.0,0.0,0.0,0.0,0.0,0.33278792142992103,1.0012450246676963e-07,3.3320225060326486e-08,0.0,0.0,0.0,0.0,0.0,1.3964973292783054,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.0,0.0,1.0012450025048378e-07,factor_residual_logits,0.0,0.0,0.5,1,3,0.001,0.0,0.001,0.7,4,3,False,0.1,0.0,0.03,0.00044262806523447237,7.435420936678605e-05,0.999
3,1.3118998153026626,1.2766207469270585,0.6612096319145675,0.615411114902214,1.2116964771502774,0.0,0.0,0.0,0.0,0.0012550454682698103,0.07368106150329388,0.07368106150329388,1.1661132122629532,0.008002029061754675,0.3644564183399591,2.7098869562986517e-05,0.1985746128803376,0.5719506400641636,0.002780493228113887,0.0,0.0,0.00021986406230571905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118998153026626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002780493228113887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719506400641636,0.0,0.0,0.0,0.0,0.0,0.3917679077670819,1.0012450246676963e-07,3.922556685837442e-08,0.0,0.0,0.0,0.0,0.0,1.3429672454348545,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.0,0.0,1.0012450025048378e-07,factor_residual_logits,0.0,0.0,0.5,1,3,0.001,0.0,0.001,0.7,4,3,False,0.1,0.0,0.03,0.00044262806523447237,7.435420936678605e-05,0.999
